"","cg10152497","cg20476058","cg25567444","cg05348770","cg02347483","cg05885546","cg25936334","cg00989538","cg26345401","cg12635019","cg10321723","cg08485937","cg22470465","cg11180789","cg05384610","cg12665742","cg11341440"
"CTRL65",0.846945,0.7058379,0.7681519,0.9657549,0.8393968,0.3640562,0.06221349,0.9855279,0.7699414,0.1954005,0.9771215,0.9479014,0.8869104,0.9247473,0.2889789,0.07346083,0.8349484
"PD38",0.8933709,0.7259783,0.8693414,0.9603342,0.8432591,0.4308011,0.06862092,0.9769924,0.7600313,0.2230301,0.9558026,0.9216625,0.8661532,0.9711168,0.4471061,0.09501801,0.849971
"CTRL18",0.9167907,0.7463461,0.673968,0.9539565,0.8734841,0.4318767,0.05606463,0.9691768,0.7518231,0.1573351,0.9377329,0.9363457,0.8260822,0.9811073,0.4113736,0.1012466,0.895087
"PDD36",0.8377035,0.7607184,0.7700693,0.9620671,0.8632346,0.5300633,0.05311573,0.9854395,0.7627678,0.1824767,0.9322205,0.8921134,0.7826775,0.9474713,0.5409308,0.08953982,0.7841646
"PDD64",0.876085,0.7369896,0.7591483,0.9896509,0.9064684,0.5772381,0.07427436,0.9895626,0.789272,0.1173479,0.9694737,0.9176169,0.8588857,0.9572057,0.4223973,0.09129203,0.8036039
"PD42",0.8316691,0.8106794,0.7548959,0.9600145,0.8945249,0.4663203,0.06019262,0.9834623,0.762703,0.1310563,0.9561457,0.8891296,0.8407285,0.9511048,0.4353289,0.1027484,0.8701663
"PDD33",0.7794998,0.8158844,0.6895128,0.9724144,0.8625542,0.4271283,0.03849249,0.9846721,0.7138399,0.132873,0.9663867,0.9186123,0.8949507,0.93329,0.4508548,0.08896086,0.8592854
"PDD65",0.9268174,0.786872,0.7955238,0.9430054,0.8480903,0.5971423,0.06028636,0.9896625,0.7363788,0.1083573,0.9350575,0.895349,0.7765855,0.9777283,0.4443387,0.09744029,0.7885254
"PD62",0.8397241,0.6798219,0.8026807,0.9487962,0.8889345,0.514781,0.05232484,0.9910439,0.7857268,0.1752012,0.9592478,0.89748,0.8831077,0.9608696,0.4350677,0.1133141,0.8813752
"PDD77",0.8345591,0.7846303,0.7784318,0.9651277,0.9075368,0.6558341,0.05170207,0.9871374,0.872019,0.1355466,0.9409313,0.9031632,0.8341851,0.9589446,0.4520704,0.1236383,0.7963053
"PDD2",0.7967011,0.8502452,0.6805548,0.9775376,0.9138982,0.4912845,0.06602187,0.9752856,0.8425852,0.1387079,0.9546075,0.9234946,0.8824088,0.9055169,0.451937,0.09867014,0.8290062
"PD25",0.875607,0.7549034,0.6479597,0.9584455,0.9146056,0.4141571,0.04939305,0.9742924,0.6753711,0.1606169,0.9677526,0.9250781,0.9163253,0.9135935,0.4252641,0.07605338,0.911009
"DLB14",0.8881382,0.736541,0.7921552,0.9519879,0.8623892,0.4972085,0.05661914,0.9914375,0.7263982,0.1802575,0.9599361,0.9414962,0.8562326,0.9671527,0.403448,0.08913587,0.8371955
