"","cg03463446","cg17805199","cg11616676","cg10138044","cg22780260","cg19310653","cg03598020","cg14459193","cg14596064","cg27189155","cg13217322","cg14904079","cg05769889","cg20087134","cg18647570","cg07093748","cg09269759","cg23200218","cg02560310","cg00340855","cg16887064","cg20745261","cg25589803","cg15279186","cg20030796","cg01674530","cg07253510","cg12563898","cg14821713","cg18127922","cg05594525","cg02941135","cg08470320","cg26427044","cg14067446","cg14725388","cg05885546","cg11105563","cg03534180","cg13451048","cg26516006","cg10762038","cg15884436","cg11312462","cg02853470","cg00972313","cg16985117","cg15058545","cg08501497","cg23529669","cg16299636","cg26345401","cg22315903","cg05471411","cg20248774","cg05788267","cg16941122","cg16959863","cg09314803","cg11596241","cg03896585","cg07755528","cg22200330","cg03967521","cg11382091","cg07642754","cg10122776","cg18160691","cg00901585","cg25284031","cg17102042","cg06410591","cg14272780","cg13714834","cg22540552","cg22470465","cg23092527","cg09214323","cg02707840","cg24280297","cg27189973","cg16196713","cg22053720","cg25981350","cg06975395","cg25499044","cg06086267","cg03791164","cg02259802","cg15197657","cg24767698","cg00425213","cg07904447","cg06791912","cg00271390","cg17007597","cg12407526","cg04701618","cg24384430","cg23890469","cg25735490","cg20246424","cg00885747","cg06643951","cg02133819","cg24933625","cg22806431","cg15310800","cg11341440"
"DLB17",0.9545481,0.6560711,0.06176043,0.8815219,0.9030681,0.4731918,0.9285023,0.85306,0.7196061,0.7947911,0.6290591,0.9328055,0.05153203,0.8461891,0.826644,0.5499341,0.6417332,0.8733901,0.839539,0.7998165,0.8914786,0.8778344,0.8294177,0.7296813,0.6875026,0.5597675,0.9447964,0.9042322,0.08105402,0.316799,0.2687592,0.3852612,0.7673256,0.1155977,0.9389475,0.7350166,0.4435913,0.7691647,0.9352285,0.468343,0.74519,0.8918139,0.9094473,0.9001657,0.8792925,0.7305327,0.9246941,0.4448296,0.9257276,0.9043011,0.8671448,0.6789678,0.8542707,0.8290225,0.2520145,0.9263699,0.5619266,0.9142829,0.8152349,0.8923366,0.9529433,0.4766815,0.0204292,0.005838828,0.9790531,0.6706631,0.3604092,0.3630024,0.8142514,0.8168049,0.6773842,0.12311,0.8640173,0.8671576,0.06949784,0.9196417,0.9233113,0.6741473,0.9426134,0.01680533,0.1245131,0.01261528,0.700472,0.4725624,0.9680093,0.8331976,0.605708,0.672743,0.735215,0.4375583,0.8550676,0.7681115,0.03388018,0.662542,0.9329286,0.8394677,0.8515208,0.6855975,0.07473644,0.3289804,0.9810998,0.7456328,0.9395524,0.8066337,0.9026788,0.3061186,0.5539788,0.919073,0.8783324
"DLB2",0.9331382,0.7446959,0.1073596,0.8083817,0.958785,0.737534,0.8740254,0.8533316,0.8527487,0.7824993,0.7488402,0.9652215,0.1125839,0.8478573,0.8530625,0.6405003,0.6335675,0.8874574,0.7788296,0.8611858,0.8854397,0.8799509,0.913639,0.8773077,0.8026553,0.639908,0.9150383,0.787244,0.1185763,0.3475583,0.1693635,0.671216,0.8429207,0.2897723,0.9281033,0.7913008,0.5889182,0.8429926,0.7899973,0.5094482,0.8567545,0.8558553,0.9380413,0.8150331,0.8998675,0.7936285,0.8778601,0.538358,0.9403639,0.7696996,0.8455947,0.7653634,0.7936516,0.9392218,0.3414298,0.9351788,0.6576472,0.9273528,0.7482147,0.9042207,0.9157568,0.6764299,0.05932357,0.01608619,0.9724203,0.7508528,0.756229,0.4747599,0.895776,0.774315,0.8046426,0.1136523,0.9208182,0.9187975,0.1060299,0.8530588,0.9542095,0.8301704,0.8794334,0.01261679,0.08330018,0.01977086,0.6456098,0.6740909,0.949599,0.7842788,0.6888883,0.7579682,0.8345276,0.3946883,0.9304447,0.8281819,0.04150676,0.8045353,0.9463672,0.868134,0.825858,0.7712649,0.1954651,0.37469,0.9629025,0.8804428,0.8484334,0.8362659,0.9043284,0.1851321,0.7517397,0.946915,0.7783165
"CTRL35",0.9435165,0.673592,0.05434753,0.806035,0.9407447,0.6383451,0.9606927,0.8449479,0.8323195,0.7213214,0.7270936,0.9194511,0.1036611,0.8616637,0.7876674,0.5478179,0.6953008,0.8941335,0.7830702,0.8215852,0.8146338,0.9082034,0.8978626,0.7786463,0.723296,0.5995382,0.9414168,0.8089993,0.003960641,0.3789836,0.2293307,0.6611889,0.8558793,0.2071992,0.9138329,0.759313,0.5177328,0.8057574,0.8692565,0.5119849,0.7901566,0.8826904,0.9051768,0.8626858,0.8842289,0.8023225,0.8607855,0.4486299,0.9045331,0.8804575,0.8318936,0.7715661,0.7611216,0.8852798,0.3328411,0.9324839,0.6533433,0.9264983,0.9075714,0.8809754,0.9438952,0.6054475,0.04781856,0.01253642,0.9649753,0.7942788,0.6262354,0.5391616,0.8801868,0.786078,0.7570166,0.1507241,0.9281201,0.8567035,0.1113022,0.8637077,0.9766649,0.8007506,0.9146037,0.01707585,0.09920938,0.01643431,0.6832371,0.626718,0.9818756,0.8354471,0.7074105,0.7267277,0.7669135,0.38836,0.878709,0.795259,0.03026461,0.746274,0.9359813,0.8621006,0.8188767,0.6697032,0.07607857,0.4128744,0.9750471,0.8951129,0.9309476,0.8412957,0.8934901,0.2620981,0.6957295,0.9359284,0.8469571
"PD8",0.9513261,0.7136797,0.09609316,0.8906532,0.9362795,0.5662449,0.9345001,0.8953467,0.8592803,0.7570478,0.8166895,0.9574406,0.07835754,0.8879216,0.8078263,0.637855,0.6343023,0.8462462,0.8398532,0.8001542,0.7219341,0.883837,0.9243593,0.8560197,0.8019031,0.6559149,0.953063,0.7147689,0.08068938,0.2850652,0.1751739,0.6702932,0.8437873,0.2582176,0.9274256,0.7595892,0.4354667,0.7363389,0.8595943,0.5188568,0.9137249,0.9055311,0.9381702,0.8570317,0.8791445,0.8146045,0.8507998,0.4422953,0.9617881,0.7731556,0.8422347,0.7277863,0.7172977,0.9275522,0.2735058,0.9324912,0.6989922,0.9348881,0.8323296,0.8759506,0.9401217,0.6625768,0.01661772,0.007901863,0.9559196,0.7843277,0.6699662,0.5311401,0.9091303,0.8475572,0.7587129,0.1527025,0.9344814,0.9274055,0.1265342,0.9008509,0.9312587,0.6859295,0.8812058,0.01355867,0.2102754,0.01924785,0.7236181,0.6424406,0.965785,0.8659296,0.7788666,0.7609599,0.8258955,0.3338095,0.8696989,0.8546862,0.03353503,0.7902934,0.9626956,0.917132,0.8359551,0.601476,0.09522701,0.4120277,0.9685914,0.904972,0.8850366,0.8718754,0.943974,0.1844863,0.7606343,0.9411022,0.833325
"CTRL51",0.9480901,0.6782542,0.04275006,0.8599538,0.9315267,0.6423788,0.9093676,0.8709485,0.7487861,0.8093794,0.6987643,0.8794627,0.06166391,0.8118818,0.7354026,0.546861,0.6495905,0.8731985,0.8881839,0.8512793,0.8955378,0.844344,0.7931647,0.7660398,0.7497568,0.5582593,0.936487,0.8244012,0.02659335,0.3645364,0.2711767,0.4667504,0.7663971,0.1395584,0.9403393,0.8038321,0.5906946,0.8087785,0.9453421,0.4835694,0.753812,0.8411565,0.9404658,0.8493635,0.8862036,0.7806031,0.8387758,0.4827766,0.9551434,0.8726133,0.8215193,0.7254811,0.877374,0.9325911,0.3040919,0.9649172,0.6029213,0.9450526,0.7955018,0.8158299,0.9317917,0.5974621,0.02413996,0.001897752,0.9669411,0.7580049,0.5961938,0.3786899,0.8202068,0.7966949,0.7473544,0.1309255,0.9017914,0.8528079,0.1320617,0.8629679,0.9758369,0.8059421,0.9343004,0.01014536,0.120178,0.009541813,0.6979972,0.5813377,0.9715428,0.8758131,0.6512105,0.7098973,0.7023411,0.4603198,0.901623,0.7384804,0.02329178,0.7487678,0.9516335,0.8259222,0.8780429,0.7501523,0.06842138,0.3510495,0.9923664,0.7992167,0.9200039,0.8094936,0.858254,0.3745295,0.6511518,0.9472226,0.9039323
"CTRL77",0.9741124,0.6786513,0.02352165,0.8246423,0.8967304,0.5804001,0.9152107,0.8310938,0.7439096,0.7224253,0.6065487,0.913406,0.07579854,0.8319687,0.8124087,0.4882583,0.6654699,0.8388074,0.8808718,0.8224625,0.8805717,0.8885351,0.9301108,0.7638116,0.7412356,0.5683917,0.9421242,0.942788,0.04340619,0.2834641,0.1986286,0.476895,0.7861269,0.1218449,0.9407152,0.7211868,0.3364497,0.8217763,0.9115509,0.4553883,0.786042,0.91635,0.9157489,0.8839097,0.8519044,0.7309599,0.8681151,0.4143252,0.920558,0.9072788,0.7726165,0.7165417,0.7424319,0.9141137,0.2727424,0.8989601,0.6661055,0.9120207,0.7515904,0.8503504,0.9428032,0.5569914,0.03876221,0.004949705,0.972422,0.782239,0.5681515,0.3762014,0.8138299,0.8082011,0.7728543,0.1117467,0.8687378,0.8890064,0.1094998,0.9174528,0.9564166,0.7369102,0.9242943,0.01610535,0.143627,0.002963221,0.6162966,0.6011777,0.984202,0.8756674,0.6471961,0.7213625,0.7251035,0.3977035,0.924024,0.7092263,0.02672422,0.6650602,0.9545703,0.8661088,0.7443948,0.6771459,0.08289141,0.3053111,0.981771,0.843997,0.8990949,0.7965204,0.9222516,0.2748062,0.6683126,0.9232681,0.8289499
"CTRL68",0.9323508,0.6840738,0.07117193,0.873115,0.8821109,0.5658301,0.9327032,0.8737121,0.732041,0.7724012,0.6959133,0.8860607,0.06352068,0.8061444,0.7659607,0.4941305,0.652326,0.8992573,0.8724474,0.8270912,0.8627334,0.8902119,0.7990973,0.7779465,0.7209044,0.5239428,0.9623623,0.9397322,0.0693864,0.2797826,0.2531889,0.5004361,0.7797716,0.06002112,0.894111,0.7943492,0.5124081,0.7533372,0.8198501,0.4876502,0.672977,0.8822241,0.9339396,0.8379799,0.8018983,0.7715561,0.9328236,0.3901882,0.9226897,0.9024873,0.8583367,0.6448992,0.7742099,0.9203601,0.2921479,0.9389851,0.6136239,0.9295011,0.7848687,0.8082874,0.9703927,0.5069137,0.0263491,0.001850216,0.9801009,0.581678,0.4566719,0.3423874,0.8056645,0.7111533,0.6769747,0.09343866,0.8647711,0.898144,0.06850214,0.8815722,0.9747301,0.7597049,0.9178726,0.02727229,0.0838337,0.0141981,0.7174593,0.530887,0.9653367,0.9252911,0.5653866,0.6721061,0.7710439,0.4531005,0.8707674,0.7397324,0.03947444,0.6859074,0.9328008,0.7944358,0.7831926,0.640764,0.0335932,0.2873907,0.9803695,0.8123766,0.8637664,0.8034147,0.8713682,0.2563527,0.5826844,0.9347058,0.8377302
"PDD24",0.9476663,0.7174336,0.07947381,0.8364679,0.8872463,0.591713,0.9103294,0.8508194,0.7662195,0.7991768,0.7498202,0.9635497,0.06251073,0.9055917,0.746192,0.6277794,0.7661026,0.8423646,0.8932492,0.8087243,0.8412976,0.8755683,0.8512063,0.8376347,0.7119001,0.5998656,0.9517256,0.8308338,0.09962462,0.3513026,0.174751,0.5783074,0.8447522,0.09906218,0.9457442,0.7934032,0.4077495,0.8507253,0.8526812,0.5466963,0.8375656,0.9098719,0.9689881,0.9196959,0.8560929,0.6312302,0.9458921,0.4011398,0.9515552,0.7675889,0.925411,0.7810189,0.788518,0.948994,0.234862,0.9349192,0.6783819,0.9362001,0.7858596,0.9157927,0.9594986,0.5998541,0.01986345,0.01639164,0.9753259,0.842642,0.6905441,0.4174722,0.9196028,0.8372539,0.7669038,0.08194755,0.9275023,0.9044419,0.086916,0.9256937,0.9540488,0.8554981,0.9378536,0.01260378,0.05979631,0.00285831,0.77682,0.6140845,0.9642569,0.895737,0.7740763,0.787222,0.8011018,0.4525748,0.9291455,0.8864303,0.03226127,0.7446601,0.9744355,0.9268558,0.8126145,0.6995805,0.04246153,0.3802677,0.9812249,0.8776691,0.9310471,0.8838009,0.9320512,0.2446304,0.8080296,0.9545493,0.9306218
"CTRL19",0.9488353,0.6524948,0.0475247,0.8215696,0.9080971,0.6549441,0.9522966,0.8377398,0.7765868,0.7354717,0.7322543,0.9056962,0.04546085,0.820191,0.8054238,0.5644097,0.6924393,0.8542387,0.8114149,0.8328292,0.8163189,0.8795638,0.8338361,0.7709567,0.7298321,0.5893616,0.9514218,0.8090661,0.07107528,0.4194347,0.2103491,0.6372468,0.7908832,0.2450251,0.9221713,0.7722021,0.4982572,0.7736691,0.9187962,0.550657,0.8658899,0.8773001,0.9264025,0.8140665,0.8912855,0.7691522,0.8710858,0.3989159,0.9268165,0.9335321,0.843179,0.7556835,0.8291779,0.8791875,0.3308125,0.9364212,0.6203214,0.9179954,0.8228553,0.8426169,0.9567887,0.5831618,0.02820948,0.01059906,0.9440411,0.7478789,0.6294921,0.5127603,0.8669795,0.8813874,0.7523807,0.1302548,0.9076235,0.87646,0.1575443,0.8902543,0.966261,0.7306041,0.9130422,0.01358549,0.1340074,0.008607635,0.7135129,0.5410385,0.967294,0.84426,0.5785007,0.6892829,0.7327671,0.3290175,0.8738015,0.7939402,0.02675566,0.7222965,0.9467184,0.8332886,0.8746531,0.8188153,0.1056351,0.395634,0.9783333,0.8426281,0.9114028,0.8446326,0.8608412,0.1894297,0.6572135,0.918635,0.8438274
"PDD13",0.8978279,0.7932007,0.1740558,0.8137732,0.9396277,0.7872693,0.7809759,0.8223041,0.7975447,0.8517565,0.7818405,0.9513294,0.1674493,0.8901815,0.7602061,0.6684961,0.7521097,0.7685602,0.8152674,0.7489822,0.8941929,0.8755631,0.9179343,0.8344629,0.8379156,0.6340009,0.8673291,0.8736684,0.05759053,0.4213697,0.1669278,0.6924365,0.8753373,0.194452,0.9392444,0.8420478,0.7065012,0.8947862,0.7859176,0.669231,0.7630739,0.8264407,0.948712,0.7601207,0.8470677,0.7525253,0.8971713,0.6428267,0.9089117,0.9298564,0.9121077,0.8456992,0.6482044,0.9338282,0.2369956,0.9582942,0.6482471,0.9626652,0.799058,0.8953711,0.9040736,0.7613659,0.05646114,0.001762758,0.98199,0.7729579,0.76992,0.4748155,0.8588076,0.7722928,0.8636079,0.07674102,0.9373644,0.9035511,0.09985735,0.7568668,0.9740001,0.9179138,0.9085368,0.007141134,0.07994145,0.006142506,0.6609754,0.6803816,0.9761615,0.9145315,0.6865022,0.705301,0.7791713,0.4270869,0.9370721,0.7853491,0.01734037,0.8303752,0.9633569,0.8378014,0.7578572,0.7494361,0.1591905,0.4585104,0.9023224,0.8492448,0.7504657,0.7801319,0.9054304,0.3284259,0.7230219,0.9133827,0.7970073
"CTRL43",0.9657196,0.6983404,0.04519108,0.8709063,0.8564165,0.598128,0.9353001,0.8276647,0.7645429,0.7650759,0.6603209,0.9372238,0.06979778,0.8370014,0.815122,0.4930823,0.7014031,0.8776007,0.8386398,0.8361913,0.8809222,0.8746835,0.8511059,0.7482946,0.7355929,0.6477268,0.9075919,0.9227612,0.08062518,0.3006935,0.2622239,0.5036502,0.7891815,0.1599261,0.9165343,0.7458371,0.4258509,0.8407826,0.8921233,0.5470444,0.7552003,0.908898,0.9153782,0.8691917,0.8512673,0.7638675,0.9131494,0.4937925,0.9094175,0.923749,0.8388208,0.7457956,0.7360166,0.9290881,0.3161997,0.9650619,0.5929752,0.8849553,0.7921854,0.8883554,0.9440434,0.5966688,0.02512827,0.001700287,0.9737145,0.7951291,0.6076491,0.4083467,0.8185312,0.802068,0.7662011,0.09953991,0.8995945,0.8692162,0.09977962,0.8760947,0.9741371,0.78443,0.9176939,0.0210494,0.1229761,0.01313366,0.6999757,0.5717256,0.9791202,0.8018499,0.6498026,0.6909915,0.7298968,0.5132961,0.8667283,0.7402599,0.02830448,0.7482974,0.9508953,0.8463415,0.7695139,0.6453873,0.04995427,0.3148986,0.978817,0.8224027,0.8656998,0.7859564,0.9038551,0.270878,0.6052252,0.9444818,0.876388
"DLB11",0.9634335,0.7134921,0.05388617,0.9223521,0.9241655,0.5877348,0.9824164,0.8709294,0.795464,0.8170864,0.7136034,0.9472628,0.06058929,0.8297981,0.799334,0.6413799,0.6985772,0.8696955,0.8947774,0.8796996,0.877322,0.8725779,0.849301,0.7798602,0.7403003,0.6181225,0.9230054,0.8547125,0.06247226,0.3660542,0.2295925,0.5327674,0.8123293,0.1618408,0.9401824,0.8259585,0.5326017,0.8211608,0.918912,0.4928379,0.7990321,0.8672304,0.9447221,0.8879158,0.8459094,0.7211169,0.902231,0.4180373,0.9582487,0.8993316,0.9018136,0.7717803,0.7976026,0.9266569,0.2316065,0.952877,0.6173132,0.935779,0.7905599,0.8437538,0.9558574,0.6356327,0.03863244,0.005000913,0.9764855,0.6670797,0.5977993,0.4060712,0.8926033,0.8307004,0.7885066,0.09815901,0.905582,0.9022786,0.07468209,0.9202285,0.9644032,0.7707799,0.9569565,0.01361412,0.1120261,0.009910803,0.712432,0.5177091,0.9330885,0.9019451,0.7165036,0.6885123,0.7484691,0.3486729,0.8523095,0.7896099,0.03376344,0.7081026,0.9743449,0.8022906,0.8276936,0.6584879,0.03530495,0.3241247,0.986463,0.8216572,0.928993,0.8543751,0.8778777,0.3257126,0.6470959,0.9198845,0.8532365
"PDD58",0.9724879,0.7546902,0.03598019,0.8302627,0.8852528,0.5255055,0.9763622,0.8056298,0.7214938,0.7276764,0.7108611,0.9021228,0.07877386,0.8026163,0.8282263,0.5912,0.6657507,0.838356,0.8043944,0.7934553,0.9020794,0.8876221,0.8320083,0.7005866,0.722512,0.5760993,0.9546692,0.8083608,0.03263062,0.35304,0.2493264,0.5836316,0.8164736,0.1036776,0.9196585,0.7912495,0.5476681,0.796308,0.930773,0.4923071,0.7713334,0.8981865,0.9165576,0.8348628,0.8535865,0.7140706,0.8681418,0.442653,0.9296905,0.9176347,0.8562689,0.7694667,0.7735226,0.9009154,0.3110412,0.9406207,0.659488,0.9030591,0.8379777,0.8283818,0.9353299,0.5869507,0.03053769,0.005264725,0.9685991,0.6713775,0.5903557,0.4395003,0.8996276,0.842479,0.6911383,0.1303608,0.8951069,0.8518076,0.06870987,0.8612874,0.9679887,0.8428824,0.9225075,0.01359968,0.09792184,0.01158552,0.6735944,0.4962696,0.9745505,0.8047682,0.6558373,0.7215619,0.7074928,0.4099941,0.8682103,0.7772059,0.05009565,0.7367989,0.9499527,0.8492031,0.8333681,0.6715472,0.0617614,0.4306354,0.9768357,0.883931,0.8727586,0.8050579,0.8903248,0.2691166,0.616113,0.9446091,0.9049006
"CTRL42",0.9523813,0.7009244,0.01701172,0.8433058,0.9388261,0.609218,0.9455067,0.8488706,0.788256,0.750628,0.7231101,0.9214138,0.06363636,0.8057981,0.7994728,0.5742473,0.6111442,0.9068623,0.8156295,0.799048,0.8474371,0.871102,0.8488606,0.8079393,0.748485,0.5971505,0.951195,0.8002017,0.06172038,0.3920583,0.1996162,0.5160355,0.8308631,0.1927723,0.8843086,0.7827272,0.5969396,0.8086992,0.9279169,0.5273803,0.8398801,0.9120252,0.8960461,0.8168865,0.8817527,0.6950881,0.8416371,0.4611803,0.9316096,0.9376881,0.817634,0.7789663,0.8368855,0.8783724,0.4115187,0.9625915,0.6009249,0.9439704,0.8767931,0.8533046,0.9444089,0.5849651,0.04204364,0.005405104,0.959562,0.7030628,0.6204622,0.4253765,0.8383706,0.8293187,0.7119806,0.1540616,0.9170954,0.8662955,0.1505316,0.8775025,0.9738201,0.8076469,0.9272631,0.013446,0.1630846,0.001384494,0.7658636,0.5444319,0.9714706,0.8146383,0.6891256,0.6823564,0.7529363,0.4453466,0.8909782,0.7772813,0.03959839,0.7356925,0.9259424,0.8904138,0.8263556,0.8328665,0.1076328,0.3772755,0.9824702,0.8502433,0.8877427,0.8219235,0.8717245,0.3085521,0.6584418,0.9014481,0.883695
"PDD53",0.9662107,0.6880042,0.07840614,0.8373411,0.9304348,0.7012093,0.9604733,0.8561127,0.8160961,0.7481354,0.7571062,0.9433335,0.09831495,0.9014462,0.7641716,0.6009473,0.7275952,0.8879893,0.8442824,0.8831134,0.8389317,0.9216015,0.8748475,0.8108969,0.7647514,0.647583,0.9429368,0.9392863,0.04128897,0.3246789,0.1869393,0.5841778,0.870089,0.2131609,0.933878,0.8035315,0.362693,0.7839006,0.8678658,0.5200524,0.8863269,0.8860921,0.9290017,0.8489457,0.8910338,0.8045615,0.8378697,0.4924313,0.9014088,0.8656251,0.8531929,0.7418684,0.6933869,0.9012496,0.3095238,0.8934946,0.6557868,0.9489952,0.862139,0.8579307,0.9622381,0.7049171,0.04430118,0.004264571,0.9649491,0.7921553,0.6239539,0.523486,0.8488519,0.8227714,0.8107151,0.1869159,0.9224537,0.8823219,0.04596502,0.8554666,0.9641603,0.8148377,0.8572558,0.01376945,0.1532755,0.008899676,0.6885272,0.6162647,0.9858207,0.8220847,0.6769407,0.7507184,0.7796792,0.3929981,0.9136473,0.8599823,0.02801105,0.7127401,0.9415387,0.9038155,0.8888977,0.5574101,0.08037599,0.4358561,0.9830685,0.8753609,0.8714881,0.8624538,0.9168423,0.1781913,0.7603457,0.9492416,0.8376137
"PD40",0.9607761,0.7181846,0.03414073,0.7591798,0.9094347,0.6056342,0.9360885,0.8929078,0.8160944,0.7240659,0.6913857,0.9311311,0.08370334,0.8415269,0.7676035,0.5949479,0.6748092,0.8443379,0.7643355,0.8616435,0.8250268,0.9132622,0.8238756,0.7662671,0.7424646,0.6109147,0.9540229,0.8572032,0.01584604,0.3676691,0.1981823,0.6223143,0.8597242,0.1559191,0.9118192,0.7733142,0.4989953,0.8145667,0.8921308,0.554557,0.7587199,0.8950289,0.9631323,0.854079,0.8913251,0.6956204,0.8800837,0.4850073,0.9412628,0.8795625,0.8740154,0.8027453,0.7309165,0.9078824,0.298501,0.9274982,0.5961672,0.9156833,0.7957041,0.8551401,0.950689,0.7262216,0.04363178,0.007846897,0.9653025,0.7056938,0.5767311,0.4439268,0.8605001,0.8409314,0.7951947,0.182511,0.9346106,0.8770885,0.1663208,0.8910322,0.9558974,0.8397352,0.9181724,0.01090786,0.09501436,0.01162791,0.7008448,0.5287107,0.9889232,0.8208746,0.6743571,0.6746476,0.7530885,0.4468833,0.853617,0.7437386,0.02639747,0.7468823,0.9435268,0.7988307,0.7866169,0.6068788,0.09070156,0.3563843,0.9780606,0.9168377,0.9361171,0.77975,0.9203416,0.3076865,0.5984706,0.9143414,0.9058472
"PDD44",0.9694616,0.7142098,0.0541047,0.7986039,0.9417864,0.5843908,0.8812326,0.8956852,0.7838334,0.7766162,0.7554128,0.9553541,0.07670869,0.8135945,0.7871272,0.5344163,0.6822906,0.8571896,0.8384386,0.8412094,0.8217402,0.8790176,0.8356339,0.7896204,0.6704576,0.5583366,0.8724197,0.9248603,0.02170147,0.3355503,0.2358874,0.5350088,0.7857181,0.1715692,0.9229032,0.8195822,0.5168897,0.7081562,0.8222312,0.500437,0.7914885,0.8802164,0.941887,0.8119854,0.8865165,0.798914,0.8475314,0.4685346,0.9560509,0.8955981,0.8645277,0.6883004,0.7378086,0.912835,0.2441312,0.9518769,0.6046549,0.9316327,0.8432859,0.9023879,0.928954,0.5900374,0.02628096,0.0004869798,0.9677446,0.7148858,0.6347663,0.458736,0.8883128,0.8681438,0.7394879,0.1012364,0.9117371,0.8634339,0.0442183,0.8906409,0.9628283,0.7052945,0.9087581,0.01194808,0.09459996,0.003150128,0.6986104,0.6157062,0.984363,0.8664127,0.632535,0.6959657,0.7790868,0.4008726,0.8662915,0.8065491,0.03196514,0.6526431,0.9522771,0.8431095,0.8490481,0.5482177,0.09824459,0.3971272,0.9811232,0.8323882,0.865514,0.8020894,0.8918443,0.1496096,0.7275698,0.9146756,0.8621616
"PD6",0.9172311,0.6192223,0.04822956,0.8949007,0.9670303,0.7363216,0.9219492,0.8774069,0.6759221,0.7667784,0.7164367,0.9424681,0.06807692,0.8052886,0.7677298,0.5071158,0.6891581,0.8697428,0.9073061,0.8149469,0.8525013,0.8626733,0.8637076,0.7641564,0.7723796,0.6564293,0.9522307,0.7513029,0.1200751,0.3451039,0.2276893,0.6174984,0.820233,0.1982305,0.9366815,0.737375,0.3797091,0.7345017,0.942007,0.4879342,0.8689545,0.9284152,0.9306756,0.8743284,0.8837485,0.8567081,0.9071394,0.3877531,0.9576867,0.8788609,0.8628962,0.6848791,0.8590108,0.9099897,0.3256824,0.9166304,0.6476738,0.9515627,0.6268248,0.8757693,0.9205509,0.5442162,0.02933427,0.0077195,0.9840822,0.7425969,0.6182092,0.3847095,0.8328167,0.7996477,0.7631188,0.1238007,0.9329516,0.8790287,0.1380175,0.8775159,0.9657642,0.8063124,0.9102029,0.01237497,0.09028225,0.01628775,0.8049424,0.5301924,0.9432687,0.8596294,0.7043988,0.7508579,0.803244,0.4007607,0.8976433,0.7943021,0.02596303,0.8061735,0.976037,0.892682,0.8102104,0.786485,0.07753814,0.2727403,0.9797755,0.9021206,0.9280248,0.8730431,0.8986403,0.2202081,0.6861606,0.9330439,0.8161492
"CTRL1",0.9517844,0.7009741,0.08779156,0.822808,0.9559661,0.6480216,0.9071495,0.8836347,0.8249203,0.8406667,0.7983186,0.9388492,0.0759348,0.8480119,0.7879418,0.6016812,0.673702,0.9168304,0.8643392,0.8062664,0.8198,0.8356408,0.9154701,0.8014474,0.7790445,0.6124742,0.9206681,0.8542147,0.08787439,0.4091097,0.1674666,0.6372987,0.8764618,0.2285016,0.9581441,0.797809,0.4625784,0.7619563,0.8506756,0.5698078,0.890839,0.9052508,0.9527453,0.8581734,0.8742688,0.7902963,0.9039444,0.5451392,0.940705,0.7909655,0.8319168,0.6933851,0.8837105,0.8905032,0.2937059,0.9265767,0.5903025,0.9628778,0.6723264,0.8993652,0.930584,0.6140868,0.04104163,0.0061535,0.9567035,0.8215612,0.6051928,0.4721608,0.8891794,0.7993467,0.8269838,0.1118385,0.9275241,0.9215584,0.07021692,0.87663,0.9457695,0.7715195,0.9368016,0.01386984,0.06320651,0.0138263,0.668849,0.6092683,0.9526937,0.8145922,0.6071726,0.7289436,0.8446176,0.3676159,0.8990357,0.8054461,0.03187479,0.8361368,0.9649423,0.8851067,0.7836805,0.7786982,0.08668514,0.3493583,0.9804779,0.901859,0.8996202,0.8623018,0.9189998,0.2527611,0.7292146,0.888926,0.9221044
"PD35",0.982136,0.7645046,0.08792623,0.7792449,0.8987619,0.6527192,0.9222877,0.8951312,0.7928891,0.7586925,0.7409079,0.9257625,0.08155166,0.8450399,0.8418293,0.6321972,0.7077697,0.8354713,0.7843196,0.8040635,0.9008882,0.8814088,0.896624,0.7603141,0.7544963,0.6475985,0.9132291,0.8596714,0.007418683,0.2969499,0.2113379,0.568044,0.8128362,0.2417922,0.907686,0.7963476,0.5002356,0.8708839,0.8570306,0.5899021,0.7663134,0.9159017,0.9280729,0.8320469,0.8584495,0.7629029,0.8971493,0.4639351,0.9122059,0.9650127,0.8378162,0.8647521,0.7503408,0.8661955,0.2964908,0.9382691,0.6288064,0.8754176,0.8947117,0.8330655,0.956561,0.6522992,0.03707679,0.001651196,0.9758129,0.7749726,0.6609738,0.4525778,0.8357316,0.8531636,0.7530116,0.1307312,0.9039582,0.8886503,0.1363836,0.8675993,0.9573974,0.7954864,0.932332,0.01665926,0.1133161,0.009715696,0.6855811,0.6263923,0.9724879,0.8207389,0.6805516,0.7551747,0.7546582,0.4053868,0.9075134,0.7592813,0.03093323,0.7466142,0.9434509,0.8181588,0.7362272,0.6823776,0.1018931,0.4233065,0.972079,0.8344271,0.880384,0.7990594,0.9113146,0.2047976,0.6919132,0.9399122,0.8284897
