"","cg05213073","cg17805199","cg07996485","cg23834525","cg23657782","cg07918736","cg00208274","cg06952719","cg17434329","cg01866897","cg01684784","cg14904079","cg00391977","cg21057613","cg13690038","cg20357416","cg15175129","cg14318068","cg10159529","cg12372924","cg21598294","cg21864071","cg07253510","cg06340519","cg08051076","cg24665412","cg18993457","cg16582273","cg18961944","cg18127922","cg18880384","cg02276614","cg14856606","cg04030905","cg22181664","cg02853470","cg21700774","cg25936334","cg18879998","cg12556775","cg04956254","cg20936920","cg03766823","cg12315735","cg15524170","cg24517989","cg12882476","cg00657759","cg20822380","cg04892765","cg10778636","cg08368441","cg26115216","cg23458989","cg05162137","cg05279387","cg22364932","cg24855045","cg07729842","cg03321592","cg03967521","cg21157115","cg06410591","cg12273368","cg14540792","cg11423096","cg20015921","cg21595526","cg01785566","cg24683035","cg19259574","cg00801765","cg06878361","cg10687936","cg24384430","cg26222689","cg00612672","cg22878489","cg16115647","cg05739014","cg05747963","cg09638266","cg16085649","cg23986918","cg24287218","cg15310800","cg22250642","cg11341440"
"PDD74",0.9524154,0.6779012,0.9226201,0.06885436,0.9732898,0.6700343,0.3164931,0.05753177,0.9386922,0.9622136,0.9146861,0.9146574,0.4287545,0.01960663,0.02263274,0.768838,0.1776556,0.8550102,0.8826232,0.9744455,0.9901973,0.008894905,0.9284845,0.8675389,0.0175024,0.9487703,0.1491681,0.0640049,0.007775662,0.2784364,0.4251284,0.9535027,0.8232384,0.008221991,0.9630613,0.8711584,0.9901862,0.07114014,0.977837,0.991597,0.8138282,0.9199159,0.0070463,0.9406942,0.8696681,0.5839174,0.01181102,0.02115431,0.9202693,0.6125657,0.6499277,0.02669972,0.8443951,0.8412007,0.006354058,0.4974671,0.958524,0.6609899,0.5539693,0.05017048,0.01549869,0.0007141618,0.1884375,0.225544,0.2081859,0.3415327,0.01986299,0.004687042,0.9733747,0.01072885,0.02262312,0.863894,0.07041834,0.9451522,0.058321,0.9489166,0.8402893,0.5556357,0.1856482,0.9747546,0.9500714,0.9208188,0.4131996,0.8938012,0.740903,0.9548516,0.01513002,0.9151798
"CTRL62",0.9285064,0.7196852,0.9331803,0.09781276,0.9621808,0.7224625,0.3763352,0.05272862,0.9416097,0.968112,0.9139375,0.8859762,0.4311152,0.008202619,0.01842697,0.8012537,0.2361657,0.8297476,0.9125908,0.9841006,0.9753543,0.01095311,0.9428686,0.9138487,0.004399472,0.9010353,0.2172887,0.1089284,0.01287727,0.279855,0.5880733,0.9556168,0.8531067,0.007853095,0.9005684,0.9078769,0.9932048,0.06791809,0.9606735,0.9835113,0.8415352,0.9802777,0.00112534,0.909417,0.8521818,0.6744855,0.009786846,0.02072686,0.8644276,0.6988388,0.6526141,0.02830644,0.8864003,0.9205607,0.01136269,0.5737277,0.9706697,0.7275139,0.5956475,0.04015425,0.003466798,0.001580061,0.1273648,0.2773337,0.2044331,0.4458369,0.02234562,0.008426722,0.9778728,0.01181592,0.02084808,0.782574,0.09135215,0.9402616,0.08057186,0.9469246,0.9057069,0.5284356,0.1639089,0.9731995,0.9560572,0.9461361,0.4229841,0.8874407,0.7035264,0.9342152,0.004793233,0.848057
"PD3",0.9723564,0.6359969,0.9092822,0.1163543,0.9301248,0.761353,0.4172627,0.02503786,0.9551689,0.92188,0.918381,0.9155172,0.4613403,0.02157041,0.02395023,0.7466563,0.2041727,0.8693424,0.9038267,0.9314439,0.9404665,0.02640387,0.8893397,0.8873667,0.02058494,0.9462804,0.1722585,0.1767621,0.02145445,0.437718,0.5481894,0.9238648,0.7934355,0.03750895,0.910402,0.8963329,0.9514296,0.06824424,0.9505278,0.9801927,0.8622851,0.8425478,0.03325111,0.9326241,0.837827,0.7340373,0.01924433,0.0362678,0.8795068,0.6394844,0.702834,0.0311518,0.8028488,0.8458483,0.02705391,0.566566,0.9305629,0.7396208,0.5977984,0.05216535,0.01331767,0.01084772,0.1252496,0.2916279,0.2682973,0.4567678,0.0437195,0.02849845,0.9437089,0.02384802,0.04193682,0.7815718,0.08583748,0.8862076,0.1157251,0.9338318,0.8550376,0.5072791,0.1312383,0.9757774,0.9494639,0.9446217,0.5511803,0.876377,0.7875488,0.9179115,0.02511336,0.8303177
"CTRL39",0.9500545,0.7873781,0.9116887,0.104642,0.9499726,0.7451368,0.3459571,0.01922651,0.9502677,0.9444634,0.9236732,0.8691739,0.4730371,0.008705214,0.02186589,0.717407,0.2397066,0.8506287,0.891665,0.9774626,0.9695059,0.01462113,0.9185083,0.8995915,0.007662835,0.9393023,0.1911528,0.1225863,0.008445671,0.39574,0.5817327,0.9500311,0.8118299,0.01671114,0.9140111,0.8905108,0.9832559,0.0654679,0.9410398,0.9767481,0.7964676,0.9473148,0.0129568,0.9015969,0.8193045,0.7261873,0.01227357,0.01398233,0.8768522,0.6303394,0.6942665,0.01554046,0.8566368,0.8748824,0.006155951,0.5747868,0.9637416,0.6875405,0.6658778,0.04288114,0.01077473,0.001270606,0.1281598,0.3088989,0.2985138,0.439091,0.0443897,0.01430469,0.9672556,0.00936024,0.03969296,0.8354199,0.1103571,0.9497898,0.04891534,0.9569024,0.8607275,0.4903217,0.1691069,0.9622923,0.9510597,0.9205304,0.5515929,0.8847807,0.6756516,0.9051388,0.01459184,0.873708
"CTRL97",0.976453,0.7298871,0.9318894,0.08642636,0.9584846,0.674825,0.3686397,0.02216552,0.9153393,0.9560126,0.9372948,0.8917643,0.4621418,0.01133188,0.01643143,0.8013265,0.2724933,0.8125358,0.8942144,0.9751317,0.9598605,0.004552873,0.9426739,0.8779161,0.01391663,0.9163188,0.1341964,0.08814288,0.009912875,0.3507826,0.5638996,0.9274171,0.8423387,0.009640587,0.9108625,0.8535476,0.978187,0.043204,0.9514346,0.9846722,0.8250435,0.9543364,0.01522717,0.9200568,0.8779477,0.7558926,0.01242665,0.01097975,0.914458,0.6184283,0.7485311,0.01010782,0.8778761,0.9255987,0.01126578,0.6393199,0.9080103,0.707667,0.6451147,0.0543971,0.004005393,0.0003515226,0.1505255,0.3055011,0.2119425,0.3929472,0.02698147,0.007407407,0.9693023,0.00592491,0.0280017,0.8608591,0.05272089,0.9398248,0.04887688,0.946188,0.9084694,0.5660822,0.1531944,0.9808876,0.9522138,0.9149212,0.5144891,0.8779085,0.7444237,0.9165965,0.01110952,0.8713393
"PD47",0.9078483,0.654159,0.9131285,0.0581959,0.9694512,0.6851287,0.3541589,0.03444102,0.9500266,0.9611072,0.8866193,0.8845925,0.4265412,0.01133163,0.01922499,0.6955457,0.1571334,0.8405545,0.8710964,0.9789963,0.9478085,0.005404809,0.9476371,0.8516864,0.01228293,0.9160706,0.1300106,0.07067606,0.01450523,0.3728726,0.5269019,0.937558,0.8098757,0.01472191,0.8937702,0.8325213,0.9847181,0.06766749,0.9668297,0.9868491,0.8121523,0.9646737,0.01063831,0.9024548,0.7934606,0.5691286,0.01002654,0.01557072,0.8693261,0.6641157,0.6243426,0.0152737,0.8360628,0.7776841,0.002584969,0.5085467,0.9570636,0.5975193,0.5592197,0.047723,0.007288708,0.00255263,0.1320755,0.301666,0.2091132,0.3762311,0.03800614,0.009210223,0.955604,0.00569314,0.03056243,0.7407863,0.1295486,0.9576,0.08057246,0.942284,0.7897951,0.539249,0.1487336,0.9746909,0.9516412,0.9473572,0.4318935,0.8698199,0.6668717,0.9107521,0.01056718,0.8283618
"DLB17",0.954126,0.6560711,0.9369442,0.05800482,0.9540167,0.7380046,0.3692925,0.02369457,0.9446193,0.9273864,0.9123949,0.9328055,0.4389089,0.01325714,0.02098446,0.7280133,0.1688369,0.8085393,0.89903,0.9572981,0.9800754,0.009792317,0.9447964,0.9270494,0.03594911,0.9429143,0.1463219,0.04276799,0.01215107,0.316799,0.4858311,0.9034469,0.9061748,0.0190031,0.9281329,0.8792925,0.9729258,0.06606309,0.9452883,0.9709051,0.5968539,0.8657701,0.02740488,0.8668334,0.943723,0.6655343,0.01297297,0.01506893,0.8231263,0.7547625,0.6521451,0.02981261,0.7696004,0.9476456,0.01391863,0.4977508,0.9599882,0.6859601,0.5076567,0.05496045,0.005838828,0.002307144,0.12311,0.2039016,0.185479,0.2536781,0.0276569,0.0131808,0.9319111,0.01018503,0.03123689,0.9014011,0.08656289,0.9488901,0.07473644,0.926196,0.9409637,0.5590433,0.1281674,0.9789369,0.9248119,0.9154597,0.3230317,0.9287475,0.7750772,0.919073,0.01134943,0.8783324
"DLB2",0.9717631,0.7446959,0.9668795,0.1265497,0.9550507,0.6771116,0.5254213,0.02232203,0.9602209,0.9425669,0.917885,0.9652215,0.3981282,0.01070009,0.02583587,0.7394519,0.1916561,0.9136063,0.8900813,0.9588114,0.9419866,0.01151097,0.9150383,0.8013772,0.02188329,0.9086332,0.1471836,0.09419781,0.01558999,0.3475583,0.5700977,0.8580425,0.8673931,0.03828667,0.8367756,0.8998675,0.9592827,0.07091413,0.9489649,0.975238,0.9165984,0.8975808,0.02170196,0.9137009,0.8173718,0.7182999,0.01506877,0.03034954,0.8592013,0.5770392,0.663876,0.02622005,0.7236478,0.8827589,0.01520023,0.5640739,0.9373482,0.7589751,0.622123,0.03881955,0.01608619,0.005743781,0.1136523,0.3099025,0.1936823,0.4034491,0.03653897,0.01673336,0.9786313,0.02341625,0.05274985,0.8579903,0.09288912,0.8737662,0.1954651,0.939873,0.8446414,0.565182,0.2019565,0.973296,0.9445244,0.9339423,0.3922373,0.9220747,0.8085753,0.946915,0.01760391,0.7783165
"CTRL35",0.9610865,0.673592,0.9408601,0.08753735,0.9557701,0.7419545,0.4155438,0.02251925,0.9356864,0.9478492,0.9034121,0.9194511,0.4885209,0.007202426,0.02448138,0.6980251,0.2869304,0.8990106,0.915119,0.9744414,0.9556532,0.01406407,0.9414168,0.9049739,0.01064373,0.8892857,0.1408379,0.1706916,0.01105178,0.3789836,0.5239541,0.9462487,0.8461338,0.01427788,0.9058925,0.8842289,0.9825251,0.04547339,0.9598263,0.9823455,0.8054452,0.9674779,0.004207411,0.8949496,0.7805222,0.6883315,0.008330993,0.01320981,0.8882969,0.6540932,0.6806968,0.02174398,0.8728692,0.8575852,0.001578947,0.5659283,0.9576197,0.6913109,0.6383519,0.05514672,0.01253642,0.0002334481,0.1507241,0.2852396,0.2151562,0.4233404,0.05346841,0.006736675,0.9510385,0.00577636,0.0328788,0.8237068,0.1125413,0.9466139,0.07607857,0.9726063,0.8047923,0.5709585,0.2137278,0.9724489,0.9356025,0.9223764,0.4176042,0.8863043,0.7202877,0.9359284,0.007920594,0.8469571
"PD8",0.9549508,0.7136797,0.9383006,0.1260354,0.9383155,0.6426785,0.4872749,0.02027025,0.977428,0.9166915,0.923118,0.9574406,0.5085667,0.01784282,0.02733948,0.7989456,0.3481111,0.8889674,0.9126846,0.9431666,0.9688,0.01215154,0.953063,0.8468131,0.01320939,0.8927685,0.09223685,0.1513892,0.008008727,0.2850652,0.434745,0.9051535,0.8637676,0.02578503,0.8892145,0.8791445,0.9670249,0.04646584,0.9549711,0.9828938,0.874172,0.9033743,0.01805469,0.9023438,0.8428506,0.6755084,0.01799713,0.05532789,0.8788331,0.6457115,0.6555356,0.02941553,0.807451,0.9366974,0.007471156,0.4892562,0.9650098,0.840173,0.6742231,0.03112481,0.007901863,0.004390712,0.1527025,0.2666058,0.1316981,0.5034774,0.05184813,0.02083052,0.9575513,0.01480973,0.03102987,0.9145972,0.1066479,0.9005405,0.09522701,0.936485,0.8916903,0.5717991,0.1496698,0.9737619,0.9455274,0.9658622,0.2904745,0.8970657,0.8041504,0.9411022,0.01873285,0.833325
"CTRL51",0.9712944,0.6782542,0.9251632,0.08738119,0.9746938,0.7018149,0.374727,0.03287082,0.977294,0.9538383,0.9003323,0.8794627,0.4563583,0.008314314,0.0109542,0.7354617,0.2318028,0.8120689,0.8950707,0.9853163,0.9795049,0.007402267,0.936487,0.8746403,0.004705882,0.9098628,0.1870581,0.09486967,0.004161211,0.3645364,0.5432089,0.9625743,0.8232207,0.008070872,0.91991,0.8862036,0.9740075,0.04730679,0.9567231,0.9864718,0.8127104,0.9873524,0.008600733,0.9432914,0.8274544,0.6262477,0.003326864,0.0130951,0.8973038,0.7140701,0.6810428,0.01462113,0.7987897,0.8613356,0.00619979,0.5901416,0.9737664,0.6618831,0.6393163,0.02941668,0.001897752,0.0007106021,0.1309255,0.2807381,0.2201898,0.3779197,0.02103246,0.009327984,0.9742869,0.003282276,0.02557922,0.8412338,0.1479929,0.9840172,0.06842138,0.9631241,0.8178886,0.5342549,0.1496183,0.979983,0.9603956,0.9343376,0.3703434,0.9062728,0.6948195,0.9472226,0.01416035,0.9039323
"CTRL77",0.9613351,0.6786513,0.9592275,0.05744221,0.9786276,0.6731308,0.374032,0.02035821,0.9685276,0.9500085,0.91083,0.913406,0.3918634,0.01285178,0.0231731,0.7385966,0.1555684,0.7933871,0.9016411,0.9647871,0.9696975,0.001298183,0.9421242,0.8691043,0.006915733,0.9080519,0.09333259,0.0731857,0.01040846,0.2834641,0.4244877,0.9272028,0.8326819,0.006307264,0.8851814,0.8519044,0.9945047,0.04970598,0.9565276,0.9941271,0.7417274,0.8535759,0.0159359,0.8634029,0.8375998,0.5174302,0.00885906,0.007377023,0.7950954,0.5970188,0.6589446,0.008900256,0.8453669,0.9118467,0.01238292,0.5177407,0.9460219,0.7195037,0.5454285,0.03401045,0.004949705,0.0001914005,0.1117467,0.278226,0.1278171,0.4927339,0.02524896,0.0155096,0.9812261,0.01170891,0.02041186,0.8789167,0.07821154,0.9283655,0.08289141,0.9326054,0.8941933,0.5838633,0.1306478,0.9760905,0.955917,0.9375394,0.4345795,0.8973637,0.70877,0.9232681,0.004665203,0.8289499
"CTRL68",0.9652678,0.6840738,0.9662387,0.02866786,0.936213,0.7269921,0.2931179,0.01880977,0.9329255,0.9572555,0.9298871,0.8860607,0.4334739,0.01731273,0.02349453,0.8083222,0.150781,0.8722845,0.884761,0.9671182,0.9675128,0.01294498,0.9623623,0.8960102,0.01382265,0.8985306,0.1119945,0.06859209,0.01840377,0.2797826,0.5065492,0.979469,0.835352,0.01036758,0.9236275,0.8018983,0.971653,0.05833435,0.9537894,0.9890774,0.8020779,0.9461056,0.01123989,0.9205462,0.8551708,0.6089918,0.00763425,0.01520006,0.9053471,0.6422358,0.6325808,0.02066554,0.8322752,0.8344243,0.01457969,0.5461123,0.9750303,0.7810417,0.5628953,0.04324864,0.001850216,0.003072673,0.09343866,0.2468883,0.1536257,0.4130777,0.02513015,0.01387859,0.9773443,0.01276395,0.03068005,0.765276,0.07314051,0.9698532,0.0335932,0.9111758,0.8921067,0.499254,0.150216,0.9763598,0.9605366,0.9095002,0.3956548,0.8783295,0.6582217,0.9347058,0.007376396,0.8377302
"PDD24",0.9597212,0.7174336,0.9650406,0.07657634,0.962041,0.8537454,0.3684733,0.01243747,0.9867491,0.9440688,0.9447742,0.9635497,0.4680049,0.01730682,0.01434827,0.8458748,0.240338,0.8923032,0.934359,0.9622855,0.9866396,0.008063824,0.9517256,0.8973942,0.01209026,0.9433608,0.2260565,0.1513673,0.005569058,0.3513026,0.5401959,0.9318091,0.815341,0.01013225,0.9868304,0.8560929,0.9845548,0.04406855,0.9590257,0.9913362,0.832935,0.9433462,0.005659933,0.9284066,0.750273,0.7850398,0.007463193,0.01563794,0.912494,0.6579377,0.7273885,0.01623154,0.8211519,0.863501,0.002365153,0.5825394,0.953438,0.8346125,0.6219778,0.05038144,0.01639164,0.002032139,0.08194755,0.2884135,0.2202682,0.3652318,0.01732934,0.004971933,0.9828416,0.009949041,0.02355683,0.8931281,0.08446725,0.941252,0.04246153,0.9412379,0.9190525,0.5949271,0.1363285,0.9786145,0.9810432,0.9495061,0.497394,0.9170132,0.8253476,0.9545493,0.01092755,0.9306218
"CTRL19",0.9479622,0.6524948,0.917016,0.1129511,0.9649207,0.7101107,0.4512703,0.0298136,0.9634006,0.9592428,0.9137603,0.9056962,0.4899526,0.004853941,0.01766268,0.7675149,0.2537211,0.8851343,0.8908926,0.9673851,0.9543088,0.01467381,0.9514218,0.8544951,0.01879783,0.8764253,0.1113036,0.1508799,0.01056556,0.4194347,0.5847682,0.937232,0.8118285,0.01462599,0.9444875,0.8912855,0.9665472,0.04594144,0.9501467,0.9804725,0.8407616,0.9583584,0.01211865,0.8966886,0.8536419,0.7047151,0.004257061,0.009798448,0.9194795,0.5874977,0.6623153,0.02467428,0.9067212,0.8550036,0.003652823,0.5811705,0.9727649,0.722893,0.5670656,0.04932866,0.01059906,0.003398763,0.1302548,0.3009049,0.1949671,0.3919154,0.02968341,0.004713805,0.973411,0.009683026,0.02455104,0.8185007,0.1526387,0.9438626,0.1056351,0.9103268,0.8053061,0.5788113,0.22154,0.976014,0.9324514,0.9440371,0.4450554,0.8808071,0.7434661,0.918635,0.01216048,0.8438274
"PDD13",0.9667709,0.7932007,0.9315427,0.1065229,0.981057,0.6767216,0.5689632,0.05541051,0.9805219,0.9549876,0.9342956,0.9513294,0.396722,0.01344357,0.00703187,0.8031722,0.1533273,0.8860763,0.912718,0.9891706,0.9580283,0.01564513,0.8673291,0.8967453,0.01443464,0.9150846,0.06895269,0.04812253,0.007442594,0.4213697,0.7390708,0.9627017,0.8097599,0.01142143,0.9044093,0.8470677,0.9984838,0.043,0.9601518,0.9735801,0.8558427,0.9682835,0.003804927,0.9054418,0.8589844,0.7261005,0.006190673,0.009627058,0.8903322,0.6983133,0.7883726,0.01163238,0.7793631,0.8046898,0.007262497,0.4958438,0.9689152,0.7048204,0.5593345,0.02407337,0.001762758,0.0006942197,0.07674102,0.3639655,0.2248031,0.3506952,0.02876401,0.0087934,0.9746732,0.00448821,0.01988689,0.7783493,0.2063225,0.9808811,0.1591905,0.9299098,0.7970607,0.5310623,0.1615317,0.9718206,0.9652062,0.9495525,0.4497506,0.893079,0.6567322,0.9133827,0.01177275,0.7970073
"CTRL43",0.948356,0.6983404,0.9568936,0.07849902,0.9543296,0.7000194,0.3986458,0.05047585,0.9502078,0.9488122,0.928622,0.9372238,0.4533283,0.01438696,0.02655632,0.7527374,0.2423797,0.8048439,0.8920053,0.9771365,0.9487464,0.0209916,0.9075919,0.9262721,0.01451346,0.9199549,0.1433968,0.1271418,0.02727544,0.3006935,0.5399177,0.9311949,0.7740412,0.02595916,0.8791143,0.8512673,0.9815363,0.07512806,0.9466124,0.9885311,0.8060581,0.9303651,0.01172647,0.9073637,0.8739939,0.7061607,0.01165702,0.01552774,0.8333361,0.648214,0.6701219,0.01559044,0.9319417,0.9165504,0.01223511,0.546851,0.9846521,0.6494375,0.561845,0.06981748,0.001700287,0.00455194,0.09953991,0.2917188,0.2592497,0.3529332,0.0260609,0.007245658,0.9743504,0.01290516,0.02909229,0.8310841,0.1133316,0.9361563,0.04995427,0.9483253,0.8512072,0.5256723,0.1702405,0.9880034,0.9441732,0.9321343,0.4089003,0.8514687,0.7300288,0.9444818,0.01051881,0.876388
"DLB11",0.9767151,0.7134921,0.9619498,0.08068064,0.974604,0.6874513,0.5131047,0.01800048,0.9536582,0.9569996,0.9361759,0.9472628,0.4681844,0.01295929,0.01503847,0.8291879,0.2241049,0.8230714,0.8815588,0.9700539,0.9762475,0.006774075,0.9230054,0.9039946,0.01241688,0.9413461,0.1765562,0.05729425,0.02432886,0.3660542,0.5191553,0.9404655,0.8404236,0.01204285,0.900106,0.8459094,0.9798787,0.03721135,0.9558275,0.9876874,0.8046451,0.9255781,0.009583768,0.854626,0.9027361,0.6611864,0.008693778,0.01164553,0.8968428,0.6433572,0.6595481,0.01816014,0.8104254,0.8809199,0.01365854,0.5378385,0.9700581,0.771871,0.5384503,0.04964096,0.005000913,0.001474864,0.09815901,0.17849,0.1949696,0.299963,0.02977064,0.006255585,0.9811155,0.00746821,0.02825568,0.8999168,0.1012233,0.9461316,0.03530495,0.9457093,0.9028055,0.5107942,0.1705218,0.9803213,0.9678895,0.9036955,0.4496769,0.8849737,0.8035319,0.9198845,0.004842828,0.8532365
"PDD58",0.9579058,0.7546902,0.9315341,0.08566018,0.9656882,0.738258,0.4729783,0.02067201,0.9576216,0.9513672,0.9231424,0.9021228,0.4420151,0.01660777,0.0182566,0.7230581,0.2326161,0.8023059,0.880677,0.9629183,0.9688808,0.004450558,0.9546692,0.905088,0.01348061,0.9196742,0.1743172,0.1042538,0.008124881,0.35304,0.5444908,0.9501428,0.910037,0.01003026,0.9071519,0.8535865,0.9796339,0.06297539,0.9464824,0.9830693,0.8054439,0.9529904,0.009061701,0.9231815,0.8502635,0.740073,0.005353179,0.009719496,0.8650279,0.7148368,0.7005045,0.01749867,0.8570069,0.8857538,0.009262883,0.5641925,0.9554504,0.682361,0.5823533,0.04490723,0.005264725,0.001315092,0.1303608,0.2844086,0.2292497,0.4085239,0.02752992,0.007645372,0.9578723,0.01025192,0.02871645,0.8419768,0.07293762,0.9486239,0.0617614,0.9417683,0.8552644,0.5359002,0.1865084,0.976373,0.9506702,0.8938183,0.4443959,0.8751889,0.7108269,0.9446091,0.01541701,0.9049006
"CTRL42",0.9541603,0.7009244,0.8825668,0.08379945,0.9640023,0.7380956,0.5185748,0.04437303,0.9310911,0.952211,0.9226439,0.9214138,0.4622659,0.00921006,0.01617357,0.7389791,0.2725696,0.8472606,0.8940839,0.973518,0.9566221,0.005444234,0.951195,0.8637178,0.01463275,0.9274542,0.1390121,0.09984357,0.007528796,0.3920583,0.568,0.9443565,0.8592417,0.009970512,0.8840255,0.8817527,0.9837124,0.0541144,0.9624882,0.9832219,0.8697364,0.9510598,0.01018157,0.90321,0.8374251,0.6785625,0.003606794,0.01564206,0.9175082,0.6866367,0.6714396,0.01461316,0.8822103,0.8916441,0.007698381,0.6101361,0.9674663,0.676063,0.6371287,0.04836571,0.005405104,0.00307612,0.1540616,0.3106466,0.1718993,0.4775469,0.02819822,0.01645179,0.9775546,0.006439964,0.03048441,0.8094699,0.09684838,0.947002,0.1076328,0.9616615,0.8955091,0.551631,0.1814984,0.9875896,0.9655341,0.9426514,0.4403579,0.8793484,0.7941802,0.9014481,0.01189526,0.883695
"PDD53",0.9444472,0.6880042,0.9123721,0.1648263,0.9455001,0.7477254,0.3415001,0.02913688,0.9477075,0.9767188,0.9094356,0.9433335,0.4874905,0.01252429,0.009384984,0.7279698,0.2293841,0.8837399,0.8738716,0.9755058,0.9706349,0.004519381,0.9429368,0.9087449,0.01953125,0.9067614,0.1406106,0.1094038,0.01010846,0.3246789,0.465061,0.942403,0.8433834,0.01437507,0.8921891,0.8910338,0.9857023,0.05369928,0.9588926,0.9888983,0.8931384,0.9699143,0.01518596,0.8964502,0.7944111,0.7554069,0.004671905,0.007616578,0.930708,0.7119107,0.6672429,0.009292413,0.7635751,0.8938166,0.008099688,0.5006936,0.9758925,0.7640414,0.626132,0.04558742,0.004264571,0.0003351959,0.1869159,0.3019967,0.2142902,0.5719602,0.0228992,0.01124538,0.9717303,0.007177962,0.02737461,0.8249967,0.1427099,0.9392624,0.08037599,0.944424,0.8378172,0.5900605,0.1888115,0.9797918,0.9621088,0.9460261,0.357999,0.8996139,0.7751035,0.9492416,0.006544306,0.8376137
"PD40",0.9756035,0.7181846,0.9451338,0.09168634,0.9626194,0.7033248,0.4007267,0.0304184,0.9442977,0.9689685,0.9206742,0.9311311,0.4501536,0.005959684,0.02233528,0.7163698,0.2294749,0.8640815,0.8584808,0.9713312,0.9481382,0.002066543,0.9540229,0.8881747,0.009928515,0.8759302,0.1778031,0.1331581,0.01305771,0.3676691,0.5423806,0.9365648,0.8193516,0.01349096,0.9536049,0.8913251,0.9900267,0.07170974,0.9627549,0.9884354,0.8505807,0.9196515,0.004577218,0.9182899,0.79175,0.6999623,0.006609094,0.01198722,0.9201625,0.6545068,0.7243931,0.01553921,0.858518,0.889866,0.006100705,0.5518108,0.9765978,0.6546523,0.6527262,0.03447924,0.007846897,0.002863652,0.182511,0.3124808,0.2401273,0.346137,0.02936756,0.003138268,0.9719691,0.008296055,0.03272201,0.8658049,0.07615213,0.9518884,0.09070156,0.9481561,0.8723593,0.5107366,0.1686469,0.9724626,0.9414671,0.9349641,0.4663825,0.8376015,0.7344473,0.9143414,0.01300009,0.9058472
"PDD44",0.9663109,0.7142098,0.9462281,0.1059803,0.969597,0.6783255,0.431342,0.03402865,0.9643909,0.9176972,0.9115834,0.9553541,0.4040383,0.008774373,0.02333602,0.7571339,0.2110018,0.8886128,0.9122353,0.9473689,0.9867954,0.005127283,0.8724197,0.8843879,0.01809494,0.8903203,0.142105,0.09153242,0.01059298,0.3355503,0.526072,0.9082876,0.8863343,0.02445886,0.9206676,0.8865165,0.9811181,0.07427981,0.9561216,0.9771132,0.8021029,0.9421816,0.008525802,0.8802481,0.7916886,0.581615,0.01316776,0.01950912,0.8460282,0.7207606,0.6531565,0.02005731,0.7668666,0.8938719,0.0101775,0.515931,0.9576364,0.7234647,0.5418397,0.02997985,0.0004869798,0.001267575,0.1012364,0.2190179,0.1490418,0.3778753,0.02460172,0.01109021,0.9724491,0.01672036,0.03676166,0.8334964,0.05116605,0.9402586,0.09824459,0.9226554,0.883755,0.5080377,0.16609,0.9806484,0.92381,0.9374627,0.4574242,0.9057393,0.7180794,0.9146756,0.01286027,0.8621616
"PD6",0.9412557,0.6192223,0.9647628,0.08692885,0.9402968,0.7400508,0.3296385,0.01022789,0.9779238,0.9420865,0.9362931,0.9424681,0.4706811,0.02699675,0.02299413,0.7804456,0.1481614,0.9123628,0.9582986,0.9520819,0.9806003,0.01975379,0.9522307,0.917961,0.02180885,0.9224766,0.09826969,0.1074949,0.01103031,0.3451039,0.5984977,0.9409294,0.840197,0.03132073,0.8846938,0.8837485,0.9528303,0.07421325,0.9695942,0.9876269,0.8661095,0.938833,0.02091414,0.8944702,0.8093151,0.7548007,0.01611023,0.01291814,0.8819317,0.4279724,0.6951271,0.02082169,0.8059406,0.9361239,0.009721791,0.5618774,0.9553897,0.7674827,0.5534483,0.04339378,0.0077195,0.005500375,0.1238007,0.2963212,0.1265692,0.3187516,0.02532705,0.01390465,0.9523925,0.01368301,0.03686738,0.9379538,0.07305964,0.8230319,0.07753814,0.9577902,0.9139212,0.5361714,0.1156984,0.9698277,0.9809766,0.9752771,0.405529,0.8936844,0.7240281,0.9330439,0.01381743,0.8161492
"CTRL1",0.9730434,0.7009741,0.948985,0.1092873,0.9348198,0.7245211,0.5209454,0.01985003,0.9589908,0.9581076,0.9210434,0.9388492,0.4626773,0.01611648,0.02546107,0.7977655,0.1998001,0.9272932,0.9378407,0.9523551,0.971912,0.01378147,0.9206681,0.8859636,0.01570256,0.9454083,0.1256242,0.1809161,0.01292584,0.4091097,0.5426683,0.9197633,0.8394847,0.01691642,0.8930689,0.8742688,0.9830436,0.0527735,0.9526831,0.9816145,0.8707195,0.9175913,0.01698044,0.8734405,0.856483,0.6842294,0.01757001,0.03125363,0.8783505,0.5379467,0.7380869,0.02877698,0.8913934,0.8987833,0.01580403,0.5409454,0.9724157,0.7980057,0.6015014,0.04290009,0.0061535,0.002852449,0.1118385,0.3706852,0.1589051,0.3955164,0.04105839,0.01163095,0.9664163,0.01315284,0.02874225,0.8557424,0.1276314,0.9011209,0.08668514,0.9435892,0.8447639,0.5239337,0.1947838,0.9571975,0.9575851,0.9525408,0.4698848,0.8595278,0.7785355,0.888926,0.02175996,0.9221044
