"","cg05533922","cg05238843","cg10401223","cg09447640","cg17414971","cg10351360","cg13841043","cg12961175","cg26532087","cg23261533","cg10655125","cg21808985","cg08717168","cg21699868","cg22629941","cg12997640","cg11927004","cg12777530","cg07711600","cg18374944","cg08492515","cg17502102","cg03260858","cg08219548","cg07750690","cg26382680","cg24224180","cg02673680","cg08709087","cg08909934","cg01755841","cg06001803","cg27153146","cg05017379","cg25784611","cg09024948","cg11420269","cg01727409","cg08406749","cg15524170","cg17810601","cg24911714","cg26029058","cg10637657","cg21195480","cg22524462","cg22199238","cg13538749","cg07345911","cg00775816","cg13102418","cg22510961","cg03040092","cg14841103","cg15765046","cg17346974","cg16488105","cg17292712","cg03234023","cg17741937","cg20075042","cg10223464","cg17139988","cg14736971","cg04549489","cg19888581","cg05217838","cg10894567","cg09296845","cg03741773","cg19903593"
"DLB17",0.2677162,0.8336315,0.9305899,0.8913991,0.9765472,0.8611536,0.9123998,0.9411248,0.9635448,0.9569623,0.9780745,0.9563885,0.923047,0.9069094,0.8591844,0.9540961,0.9735663,0.9165304,0.8919609,0.9225371,0.011653,0.9387674,0.8500413,0.9598905,0.898744,0.925592,0.9676268,0.9490046,0.9700092,0.9498067,0.4118461,0.96021,0.96715,0.01713048,0.8706216,0.8546802,0.798442,0.8583698,0.9647585,0.943723,0.9559238,0.8984894,0.9050127,0.9612553,0.9739446,0.9168361,0.7062894,0.9525606,0.9048689,0.7770484,0.9318691,0.4533644,0.8324608,0.6866288,0.8563145,0.4490888,0.8834993,0.9727397,0.9772052,0.8933097,0.9050013,0.9207742,0.8551106,0.983575,0.9637494,0.9434811,0.9630964,0.9534623,0.9416104,0.9757121,0.9518004
"DLB2",0.2743142,0.8315665,0.9464241,0.9047507,0.9613831,0.9235014,0.9274063,0.9332522,0.9696764,0.9623597,0.9771309,0.9181434,0.899109,0.9032015,0.8607012,0.9428629,0.9699635,0.9144525,0.901757,0.8805701,0.01055671,0.933428,0.8950037,0.968476,0.8729966,0.9051815,0.9470076,0.946377,0.9383807,0.9386295,0.4148121,0.9423417,0.9684324,0.01677546,0.8614056,0.9176969,0.9219326,0.9174927,0.9661709,0.8173718,0.9492017,0.897448,0.8270515,0.9592121,0.9234467,0.9071976,0.6415596,0.9772081,0.8273182,0.9105182,0.9569656,0.6247988,0.74352,0.7072903,0.9361336,0.3902568,0.9152181,0.9696634,0.9841392,0.7413125,0.9209429,0.9204206,0.9200315,0.972802,0.9585573,0.9210769,0.9608179,0.9325201,0.9554806,0.9765322,0.9508245
"CTRL35",0.3766737,0.8389105,0.9622895,0.9000698,0.9569662,0.9767866,0.8731866,0.9133862,0.9387548,0.9670938,0.9806661,0.9005173,0.8982476,0.8691785,0.935081,0.9176863,0.9653306,0.9581879,0.8979004,0.947331,0.008227483,0.9355289,0.8502413,0.9848998,0.8556864,0.8982196,0.9408089,0.9343705,0.9573245,0.9315049,0.3657499,0.9774369,0.9713344,0.01718761,0.8723881,0.9235818,0.8955777,0.9099422,0.9460358,0.7805222,0.9625542,0.8987786,0.8640016,0.9480848,0.95955,0.93126,0.7193803,0.959339,0.9539172,0.8543224,0.9535926,0.6699865,0.7564226,0.7386644,0.9317059,0.3956144,0.8916634,0.9615163,0.9829553,0.8028761,0.9240035,0.9133334,0.9023566,0.9759122,0.9357242,0.975759,0.9673935,0.9428356,0.9564886,0.9721885,0.9169414
"PD8",0.3461797,0.8752941,0.93082,0.9077733,0.9565364,0.9006726,0.9106934,0.9331582,0.9672377,0.9438412,0.9668657,0.9244171,0.9074555,0.8845673,0.921365,0.9541334,0.9730695,0.8993999,0.9374439,0.9168586,0.00699796,0.9586512,0.8772791,0.9760711,0.9556867,0.9427177,0.9564648,0.9360729,0.9756427,0.9284608,0.3424395,0.9422626,0.9667514,0.02442157,0.890032,0.8798561,0.9489162,0.8620796,0.9640358,0.8428506,0.957708,0.8885166,0.8489874,0.956861,0.9213539,0.8961622,0.6159658,0.9729732,0.8638908,0.9083139,0.9616548,0.670586,0.8150288,0.709805,0.8986161,0.3598094,0.865639,0.9429772,0.989599,0.8370006,0.9257851,0.906475,0.9376283,0.9812973,0.960296,0.9278073,0.9607167,0.9619274,0.968028,0.9834237,0.9472684
"CTRL51",0.3521297,0.8873093,0.9565366,0.9100179,0.9673246,0.9464284,0.8856674,0.9619786,0.9546167,0.9919083,0.9813951,0.9450151,0.9222395,0.835444,0.8541312,0.9457134,0.9742891,0.9620311,0.8736966,0.9208743,0.004162651,0.9535607,0.8655741,0.9804052,0.8253285,0.8964589,0.9371734,0.9292334,0.9906674,0.9507548,0.351418,0.9674704,0.9802292,0.01726076,0.8649068,0.9369937,0.8735066,0.9424972,0.9762653,0.8274544,0.9612973,0.8700518,0.8469558,0.9571444,0.9600713,0.9587097,0.67544,0.9748512,0.9453639,0.8285138,0.9505201,0.4660916,0.7441736,0.7201971,0.9280996,0.4407247,0.851446,0.9694351,0.9873685,0.8369566,0.9330869,0.9101776,0.8451678,0.9785718,0.9526834,0.9745623,0.9666646,0.9561654,0.9553655,0.9934936,0.9562372
"CTRL77",0.2896733,0.9114471,0.9728276,0.9041535,0.9715443,0.9150712,0.9147232,0.959199,0.9607682,0.9687746,0.9786157,0.9297411,0.8881713,0.8151167,0.9657722,0.9449648,0.9571044,0.961028,0.8802019,0.9070574,0.002370045,0.961593,0.8880777,0.9785244,0.8772251,0.9298357,0.934569,0.9106557,0.975338,0.9620937,0.4192985,0.9581597,0.9862719,0.01206456,0.8595153,0.9249466,0.8376408,0.8902089,0.9643013,0.8375998,0.9517561,0.8957499,0.8341906,0.9673486,0.9426916,0.9460504,0.7048568,0.9620543,0.931688,0.8026214,0.9564663,0.4249638,0.7582529,0.6380814,0.9220574,0.3094254,0.8534761,0.9497916,0.9872087,0.8000402,0.9151643,0.896861,0.8804523,0.98831,0.9490525,0.9688716,0.96422,0.954317,0.9509706,0.9862946,0.8915908
"CTRL68",0.2509064,0.8559682,0.9517381,0.846573,0.9528469,0.9278866,0.8919969,0.876051,0.9607123,0.9710345,0.9455062,0.9121116,0.9050291,0.8960614,0.8336206,0.9386053,0.967984,0.928706,0.8710168,0.9694956,0.004513906,0.9397607,0.9185184,0.9506234,0.8869873,0.9415882,0.959068,0.9301883,0.9419952,0.9356622,0.3701891,0.9417948,0.9844817,0.01581307,0.9044586,0.9518033,0.8099359,0.8795801,0.9640999,0.8551708,0.9675333,0.913562,0.8273246,0.9444716,0.9488689,0.9302563,0.6854195,0.9605927,0.8944286,0.8133723,0.95201,0.5149424,0.6644023,0.6853936,0.8511693,0.4076181,0.8577322,0.955664,0.9812285,0.7953018,0.9175762,0.9256964,0.8147338,0.984967,0.941595,0.9911141,0.9697563,0.9463478,0.9629415,0.9848657,0.9162596
"PDD24",0.3898004,0.8663568,0.950761,0.9013308,0.9869907,0.934126,0.9387187,0.9200005,0.9920501,0.9770525,0.9712138,0.9802254,0.9371333,0.9505244,0.8497951,0.9654182,0.8124195,0.923569,0.9264098,0.9348588,0.004344882,0.9739224,0.9065894,0.9838985,0.9252788,0.9292443,0.9762823,0.9583846,0.9566081,0.9503874,0.3371606,0.9629454,0.9775515,0.01025449,0.9371185,0.9147636,0.9392978,0.8443485,0.9883868,0.750273,0.9774345,0.8972847,0.8909446,0.9519714,0.9367439,0.9572583,0.693209,0.9700988,0.8511835,0.835369,0.9762368,0.3975857,0.7526224,0.7655804,0.8944116,0.4250799,0.8893519,0.9887254,0.9884071,0.9272909,0.9588282,0.9228364,0.9302914,0.9903912,0.9829566,0.9110386,0.9715367,0.9807079,0.8969151,0.9897215,0.9743062
"CTRL19",0.3446857,0.9042133,0.9471502,0.8433111,0.9628719,0.935698,0.892885,0.9556529,0.9384542,0.9701284,0.9747215,0.9356766,0.8878191,0.8775394,0.908102,0.9452318,0.9677482,0.9605227,0.9105548,0.9416488,0.01063753,0.943467,0.8815562,0.981477,0.8757094,0.9005924,0.9373065,0.9320813,0.9895605,0.9103046,0.3941533,0.9513109,0.9645039,0.01274546,0.8622519,0.9390244,0.8883904,0.8825724,0.9654746,0.8536419,0.9501154,0.8958325,0.8762035,0.9465561,0.9539539,0.9464807,0.7450386,0.9598444,0.9268382,0.8759481,0.9602358,0.6551135,0.7742991,0.7237851,0.9412351,0.4238873,0.8172741,0.9468842,0.9842671,0.8149773,0.9035393,0.9177093,0.8312344,0.9721717,0.9415494,0.9668513,0.9681557,0.9318753,0.9411926,0.9704555,0.9030119
"PDD13",0.3424679,0.9081456,0.9519859,0.847471,0.9033677,0.9706443,0.8406473,0.9509067,0.9684647,0.9794422,0.9856285,0.9360892,0.9003259,0.8639927,0.9106396,0.9281717,0.9585115,0.9653673,0.8519472,0.9326453,0.003309756,0.965571,0.91935,0.9903087,0.8938037,0.9272897,0.9636121,0.9182086,0.9812015,0.9384317,0.3596262,0.9508286,0.9761714,0.01018043,0.8745522,0.8784295,0.8890377,0.9301274,0.9807783,0.8589844,0.9704028,0.9207089,0.8728848,0.9602782,0.9688018,0.9505943,0.7584558,0.9699661,0.9609196,0.8616455,0.9729541,0.7549112,0.7159793,0.7638334,0.9670296,0.4247173,0.9433289,0.9719373,0.9908793,0.8924551,0.9384057,0.9456164,0.7759177,0.978004,0.9564583,0.9781516,0.977574,0.958162,0.9434574,0.9666916,0.9429291
"CTRL43",0.3267259,0.7881944,0.9635947,0.9155491,0.9482265,0.9551238,0.8685079,0.955189,0.9586822,0.981165,0.9678445,0.9244081,0.9183525,0.863282,0.8947108,0.9503431,0.9599327,0.9288878,0.9185837,0.9366655,0.0103946,0.962645,0.8832063,0.9714604,0.8976792,0.9253774,0.9569351,0.9030815,0.978776,0.9626924,0.4246087,0.9448262,0.9715354,0.01986984,0.8755209,0.8354648,0.8507935,0.8732705,0.9822102,0.8739939,0.9690982,0.9181938,0.9379877,0.943022,0.9503055,0.9358412,0.7510921,0.9812893,0.9310576,0.8556349,0.958544,0.5415404,0.7676392,0.6794107,0.9233315,0.3911617,0.8599877,0.9708473,0.9846402,0.841537,0.896729,0.9145176,0.883839,0.978769,0.9726729,0.9566756,0.9811851,0.9568769,0.9646444,0.9870372,0.9222639
"DLB11",0.3204516,0.8656595,0.9415563,0.9126293,0.9668627,0.8701252,0.9325508,0.9548042,0.9748221,0.9708844,0.9790542,0.9542822,0.8994887,0.8906799,0.9029389,0.9518341,0.9709996,0.9890504,0.8901311,0.9387073,0.00899691,0.9761134,0.8936828,0.9781411,0.8814504,0.9453263,0.9679288,0.9357994,0.9761411,0.9334189,0.3540188,0.9709376,0.986082,0.01244029,0.8986883,0.9309634,0.8681181,0.865719,0.9793168,0.9027361,0.9758463,0.9203561,0.8387932,0.965384,0.9566957,0.9664206,0.6093998,0.9687293,0.8948884,0.8315403,0.9753086,0.57714,0.7515037,0.7017884,0.9335607,0.4714087,0.8370133,0.9781604,0.9846887,0.8414262,0.9497784,0.9275089,0.8290641,0.9781368,0.9774597,0.953743,0.9685664,0.9480373,0.9531073,0.9858164,0.9569035
"PDD58",0.3479058,0.9223301,0.9546584,0.833694,0.938473,0.9545192,0.9015329,0.970478,0.9544581,0.9699486,0.9814553,0.9161287,0.9093269,0.8823322,0.9179097,0.9456678,0.9669601,0.947938,0.9325149,0.9697088,0.0151902,0.920982,0.8500692,0.9763634,0.8630564,0.9246524,0.9719938,0.9486536,0.9764534,0.9336665,0.4103876,0.9518245,0.9760992,0.01584529,0.8744088,0.9360057,0.8615685,0.8677483,0.9514277,0.8502635,0.9684281,0.8829686,0.8872062,0.9592386,0.9538529,0.9350254,0.7298906,0.9730235,0.9379733,0.8129167,0.9587825,0.7304551,0.7729738,0.6963512,0.948415,0.5083334,0.8185866,0.9474729,0.988327,0.8820526,0.9319118,0.8985174,0.8459276,0.9811999,0.9537414,0.9774659,0.9659263,0.9503042,0.9628231,0.9792794,0.9173561
"CTRL42",0.361773,0.882487,0.982263,0.8859479,0.9733818,0.9501998,0.9439294,0.9630167,0.9605221,0.9857131,0.9841778,0.9624321,0.8804428,0.8848297,0.8935013,0.9271718,0.9699848,0.9345453,0.9033105,0.9346091,0.003081579,0.9588727,0.8774296,0.9912351,0.8569029,0.9300123,0.9492191,0.9295139,0.9730297,0.9541116,0.3786313,0.9621768,0.9782454,0.0238427,0.8642832,0.9353403,0.9012692,0.9380514,0.9476519,0.8374251,0.9586906,0.9101872,0.8475748,0.9606402,0.9400769,0.9633221,0.6950823,0.9624222,0.947102,0.8690258,0.9788526,0.7075309,0.7267605,0.7476968,0.9291465,0.4412587,0.8456102,0.9617947,0.9765536,0.8362643,0.9121482,0.9012284,0.8797966,0.9788239,0.9503891,0.9666725,0.9659595,0.9537376,0.9475713,0.9885252,0.9073952
"PDD53",0.4058378,0.9664317,0.9329936,0.899859,0.9588307,0.9576489,0.8796316,0.9951356,0.9501966,0.9794726,0.9663293,0.9376282,0.8812357,0.8369512,0.9377581,0.8859527,0.9535453,0.9363658,0.874836,0.9345598,0.003652153,0.9499302,0.8974601,0.9874185,0.9086498,0.9001348,0.9386207,0.9342056,0.9757569,0.9068783,0.3376653,0.9559235,0.9713983,0.01532476,0.8631773,0.9260508,0.9212052,0.9144361,0.9655353,0.7944111,0.9563426,0.8692066,0.8715394,0.9452973,0.9452042,0.9455303,0.6161355,0.9417704,0.9393808,0.8707954,0.9665394,0.7486806,0.8433245,0.7181427,0.9422474,0.3593015,0.9042617,0.9738425,0.9849379,0.8375437,0.9161988,0.9220428,0.942755,0.9873563,0.9390443,0.9763838,0.9674029,0.933331,0.9754391,0.9869735,0.9189906
"PD40",0.2977835,0.8752302,0.9573855,0.8522762,0.9643854,0.9188983,0.9128882,0.9486816,0.9594889,0.9662358,0.9887678,0.9348487,0.9121381,0.7733748,0.9218666,0.9310555,0.9690105,0.927406,0.864583,0.9277933,0.0178326,0.9614964,0.8775983,0.9698571,0.9184182,0.9295673,0.959306,0.9464637,0.9693257,0.9237858,0.4288449,0.9554162,0.9807044,0.02886801,0.866021,0.9047489,0.8640842,0.9137046,0.9349493,0.79175,0.9576989,0.8689183,0.8430512,0.9584061,0.9322244,0.9524522,0.6589228,0.974138,0.9183035,0.8310337,0.9670458,0.5639082,0.7363307,0.7411429,0.9400991,0.4525717,0.8726999,0.9642574,0.9894931,0.8782398,0.921966,0.9074891,0.8225221,0.9739533,0.9394971,0.9699959,0.9593022,0.9542608,0.930685,0.9782169,0.9531773
"PDD44",0.3070173,0.8832,0.907157,0.8787639,0.9538043,0.9265328,0.9123174,0.9396945,0.9639693,0.981378,0.9689846,0.9383215,0.9109067,0.9057305,0.8769245,0.9482979,0.958811,0.9479757,0.9054173,0.9483246,0.004504695,0.9323465,0.823935,0.9831959,0.8423494,0.9267011,0.9390921,0.9349767,0.9643037,0.9172798,0.3794099,0.9462271,0.9617939,0.01739088,0.8590057,0.899989,0.9167027,0.9099565,0.9844009,0.7916886,0.9569222,0.9030335,0.8439759,0.9625121,0.9625654,0.9115659,0.7132862,0.9694603,0.9215156,0.8833066,0.9677213,0.6200191,0.7906454,0.6847694,0.9240234,0.3949612,0.9013904,0.9599362,0.9914698,0.8038649,0.9053546,0.8843962,0.8314988,0.9565058,0.9296863,0.9649538,0.9638522,0.9595293,0.9616701,0.9792057,0.9491256
"PD6",0.3102052,0.7912304,0.9204248,0.9151282,0.9684503,0.7874583,0.9227369,0.9137203,0.9715873,0.968377,0.9573462,0.9603398,0.9415581,0.9391742,0.7842789,0.9294275,0.9822119,0.9287129,0.9476861,0.9307112,0.01118387,0.9553303,0.9124053,0.9733627,0.911323,0.9301946,0.9671051,0.955002,0.9772475,0.9628796,0.3678851,0.969767,0.9904476,0.01215363,0.9286195,0.889172,0.8922215,0.8175559,0.962328,0.8093151,0.9807965,0.9379554,0.86861,0.9687583,0.9396814,0.9097264,0.6778087,0.9854662,0.8229349,0.9353912,0.9550692,0.540724,0.8145455,0.7542935,0.8888416,0.3752827,0.9315397,0.9782579,0.9928556,0.8818747,0.9511301,0.9348409,0.9496734,0.9802955,0.9659621,0.9430352,0.9743929,0.9738866,0.9801472,0.9756984,0.9624797
"CTRL1",0.3198097,0.8376935,0.9417814,0.920538,0.9476457,0.9141243,0.8904177,0.9232006,0.9722829,0.9698039,0.9832579,0.9450958,0.9184244,0.880406,0.8079672,0.9527409,0.9637656,0.9211177,0.8622841,0.8853719,0.01054221,0.9570861,0.8847363,0.982141,0.9437835,0.9288066,0.9388333,0.949293,0.9638722,0.9423918,0.3643729,0.9581882,0.9680328,0.01679437,0.9039331,0.8928336,0.9285309,0.9039281,0.9582399,0.856483,0.9618395,0.8831315,0.8573714,0.9608857,0.9496677,0.9253324,0.6719198,0.9751053,0.8600151,0.9049569,0.9664927,0.565291,0.7182924,0.683668,0.8702908,0.4646131,0.8684382,0.9645807,0.9775967,0.866857,0.9139055,0.933634,0.9340834,0.9650494,0.9610033,0.9327882,0.9605518,0.9745916,0.955328,0.9850813,0.9457304
"PD35",0.3448405,0.9203803,0.9625674,0.8661505,0.9557442,0.9733522,0.9288324,0.9652266,0.9624852,0.9730231,0.9802695,0.9282538,0.91221,0.8612493,0.9078529,0.9673927,0.973937,0.9391552,0.8573059,0.905251,0.004049676,0.9200703,0.8640411,0.9800562,0.8375055,0.9210776,0.9588384,0.9320348,0.9828545,0.9439108,0.386856,0.9659036,0.9653462,0.01620193,0.8714806,0.9098672,0.927687,0.9276972,0.9503938,0.8419612,0.9526161,0.8766616,0.8418284,0.9505088,0.9589093,0.9415014,0.6917239,0.956896,0.9513323,0.850926,0.9517254,0.6241396,0.7344924,0.7075766,0.9312668,0.418809,0.8794556,0.9543548,0.9832517,0.8507169,0.8943414,0.9218231,0.8211224,0.9830531,0.9380391,0.9690861,0.9609378,0.9671213,0.931912,0.9772867,0.8829734
"PDD41",0.2767774,0.8860305,0.9578799,0.8859908,0.929962,0.9298371,0.8786508,0.9564983,0.96329,0.9775383,0.9897523,0.9553194,0.8802047,0.8082091,0.9425743,0.9319358,0.9621408,0.9441786,0.899449,0.9336563,0.009187456,0.9392621,0.8315535,0.9822471,0.8537916,0.9080506,0.9207151,0.9046099,0.9843044,0.9122359,0.3766499,0.9259267,0.9846336,0.01631272,0.8347387,0.9013715,0.8703575,0.8844944,0.9146443,0.7863692,0.9432981,0.8968137,0.8240931,0.9340506,0.9607907,0.9485721,0.6333095,0.9511458,0.9470677,0.8112956,0.9609667,0.6438074,0.7756597,0.6313732,0.9220298,0.374686,0.8639351,0.9596462,0.9835976,0.751143,0.916465,0.8788625,0.8825078,0.9696234,0.9314407,0.966074,0.9499974,0.9445707,0.9623894,0.9762884,0.8839931
"PDD70",0.3253557,0.941704,0.9413812,0.9175366,0.959524,0.9023646,0.9054058,0.9237571,0.9656676,0.9553849,0.9749142,0.9442276,0.9133007,0.8856592,0.8407736,0.9516896,0.967687,0.9403429,0.8813544,0.9490418,0.003348846,0.9613078,0.8828416,0.9780503,0.8621918,0.9546125,0.954294,0.9235184,0.9673967,0.9377802,0.4267284,0.9674361,0.9763931,0.01618668,0.891566,0.9144397,0.9013122,0.9183962,0.972495,0.7685471,0.964408,0.8893882,0.8830587,0.9437511,0.9721856,0.9314206,0.6540261,0.9683578,0.9310494,0.8484612,0.9580237,0.4309309,0.803227,0.7180596,0.8637265,0.3653622,0.8760711,0.9189566,0.9823179,0.8105555,0.9235197,0.892488,0.9586274,0.9701656,0.9623061,0.9680268,0.9773478,0.9735822,0.9698726,0.9841589,0.9220919
"PD59",0.2890448,0.8769415,0.9244074,0.8872367,0.9553071,0.918286,0.8595795,0.9542299,0.9644814,0.9941831,0.9766908,0.9374302,0.8973742,0.856552,0.932826,0.9612583,0.9720891,0.9525194,0.8785108,0.8892044,0.004546744,0.9381393,0.8745185,0.9867074,0.9053674,0.9175596,0.956733,0.9208005,0.9651332,0.9270911,0.4232368,0.9811857,0.9835528,0.02173185,0.9235453,0.9205267,0.855111,0.8719861,0.9648779,0.7946468,0.9694518,0.9042044,0.884907,0.9541109,0.9614577,0.9680175,0.6344084,0.9603298,0.8598981,0.8159964,0.9617364,0.6199713,0.7431185,0.6737268,0.9328129,0.3259462,0.8352006,0.9540665,0.9849173,0.853545,0.9225686,0.9009052,0.8874696,0.9771744,0.9541072,0.9777417,0.9604901,0.9511987,0.9617558,0.983643,0.9310231
"PDD28",0.1952544,0.9061172,0.96298,0.9270804,0.9757054,0.9005352,0.9460866,0.9427322,0.97773,0.964158,0.980135,0.934177,0.8929898,0.8927925,0.9125235,0.9714365,0.9669142,0.9162597,0.8709994,0.9522923,0.01254457,0.947709,0.8687361,0.9787082,0.8765182,0.9400427,0.9692939,0.938192,0.9798592,0.9624967,0.42159,0.970607,0.9593676,0.02035895,0.8390036,0.9090552,0.9407697,0.8877542,0.9833298,0.8946893,0.9746201,0.9358836,0.8759126,0.9757668,0.9559256,0.9342339,0.6943015,0.9817099,0.9291469,0.8903691,0.9736465,0.408457,0.773672,0.7754813,0.8687085,0.3157899,0.9131166,0.950085,0.989112,0.8774351,0.9445871,0.9167004,0.8116614,0.9706361,0.920499,0.9552732,0.9564817,0.9535317,0.950221,0.9839093,0.9639914
"CTRL78",0.2857863,0.7781775,0.924811,0.9341957,0.9351536,0.7726622,0.9024932,0.903247,0.9719226,0.9684124,0.9821346,0.9376105,0.9272145,0.8979696,0.8464925,0.9404715,0.9671479,0.8968485,0.9028756,0.919972,0.0114777,0.9503083,0.8886568,0.9664876,0.8977682,0.9160956,0.9636495,0.9445022,0.9625615,0.9425664,0.3819147,0.967701,0.9703323,0.0223791,0.8945117,0.8539003,0.9264859,0.8719619,0.9778757,0.8273153,0.9586025,0.885035,0.7975875,0.970418,0.9301409,0.9249988,0.6846545,0.9760024,0.8559418,0.9224449,0.9604877,0.5012782,0.7205142,0.7350132,0.8762776,0.4518355,0.8474913,0.9641575,0.9771459,0.8991448,0.9535735,0.9270379,0.8840927,0.961289,0.9501091,0.9514439,0.9676286,0.9668424,0.9635765,0.9735882,0.9155097
"CTRL64",0.2461342,0.8003328,0.9391738,0.9240537,0.9437728,0.8028263,0.93924,0.909504,0.9684949,0.9711892,0.9848657,0.9344789,0.9321728,0.8914414,0.8130751,0.9195244,0.9632933,0.9319492,0.8539722,0.9168165,0.00735373,0.9448837,0.8633694,0.9591044,0.9268017,0.9530816,0.9743549,0.9165552,0.9642353,0.9729969,0.405177,0.9805208,0.9635871,0.01229156,0.9113012,0.8370993,0.7926334,0.7911604,0.9624392,0.8604431,0.9668425,0.8290744,0.8601185,0.956738,0.9094968,0.9593362,0.6340727,0.9783799,0.9159524,0.7772312,0.9604317,0.4188261,0.6192511,0.7231239,0.9527011,0.3614907,0.8289678,0.9707286,0.990826,0.8194836,0.9340897,0.9159075,0.8249716,0.9812723,0.9608837,0.9681795,0.9750885,0.9419314,0.8566969,0.9745162,0.9374235
"PD48",0.2862241,0.8665273,0.9464422,0.8408155,0.9561412,0.9570525,0.9024958,0.9531401,0.9484525,0.9697615,0.9621401,0.9075685,0.8932481,0.799161,0.884257,0.921185,0.9653902,0.9537684,0.8714757,0.9571297,0.008776755,0.9354126,0.8814182,0.9700779,0.7801136,0.9123383,0.9460411,0.9244936,0.9623027,0.933355,0.4170936,0.953822,0.9289003,0.01891485,0.8145194,0.9162385,0.8401856,0.8443465,0.9509854,0.78346,0.9455922,0.8855887,0.8951166,0.9702731,0.9530005,0.9051017,0.6757101,0.9612551,0.9283717,0.7447157,0.9520128,0.4398052,0.6920849,0.6702751,0.9154885,0.4290216,0.8827186,0.9627404,0.9847482,0.8884246,0.9085368,0.8981207,0.7065828,0.9684789,0.9599225,0.9587998,0.9635491,0.9567532,0.9580231,0.9953063,0.953154
"PD21",0.3451125,0.8747505,0.9380049,0.9094474,0.9087069,0.905184,0.9036411,0.9514582,0.97253,0.9889177,0.9815504,0.9341199,0.8819847,0.8870078,0.9605292,0.9306554,0.9644244,0.9313015,0.9031932,0.8988895,0.0196345,0.954621,0.8973777,0.9768021,0.8876904,0.9111998,0.9766298,0.9543341,0.9482196,0.9673239,0.3866821,0.9800861,0.9636247,0.02168077,0.851564,0.8607801,0.9039992,0.9016573,0.9789473,0.8038636,0.9645368,0.9206315,0.8384169,0.9673679,0.9658788,0.9298654,0.6565985,0.9661744,0.9045265,0.8824686,0.9624074,0.6135167,0.792574,0.7056898,0.8542353,0.4196266,0.8852862,0.9628665,0.9900329,0.8307158,0.9198106,0.9215324,0.9177338,0.9601373,0.9681798,0.9585319,0.9691389,0.9331315,0.9863992,0.9909701,0.9338823
"CTRL95",0.3772883,0.8745247,0.9470201,0.9249078,0.9663222,0.9309523,0.9095905,0.9615013,0.9585575,0.9702409,0.979206,0.9183978,0.9033056,0.8957908,0.9039865,0.9213356,0.9552204,0.9538365,0.9014627,0.9293247,0.008315684,0.9630877,0.8696382,0.9784689,0.8603432,0.8999899,0.9407304,0.9122401,0.9581804,0.9103538,0.3613292,0.9409926,0.9700538,0.01449721,0.8715994,0.8863141,0.9054171,0.9136203,0.9543917,0.8858948,0.9484975,0.909792,0.8769347,0.9422646,0.9835676,0.9512066,0.7341011,0.967863,0.93327,0.8533296,0.9695107,0.6309237,0.7319093,0.7359793,0.9445601,0.4402697,0.8505083,0.947851,0.9829115,0.8509005,0.9029087,0.923161,0.8679743,0.9778574,0.9447101,0.9697369,0.9608217,0.9444563,0.9426083,0.9719534,0.9009334
"CTRL57",0.2893701,0.8979754,0.9524341,0.8272611,0.964185,0.9715207,0.9082864,0.9310172,0.9673078,0.9773227,0.9744517,0.9552006,0.8889461,0.9097323,0.8642411,0.9361312,0.9639373,0.9479973,0.9282032,0.9699621,0.002689509,0.9605029,0.9049808,0.9874924,0.8805407,0.9457004,0.9362147,0.9609494,0.9827826,0.9409974,0.3657964,0.9585704,0.9684547,0.01766307,0.8749777,0.8988568,0.8243042,0.8934166,0.963751,0.8765414,0.9566639,0.8868193,0.877105,0.9591889,0.9555559,0.9345127,0.7269056,0.9404487,0.9237124,0.7997698,0.9712349,0.5513808,0.7118928,0.7041158,0.9177859,0.3760282,0.8609144,0.9571427,0.9850366,0.885709,0.9089531,0.925872,0.8218749,0.9749129,0.9584759,0.9679483,0.9654869,0.9500346,0.9436458,0.9821165,0.9516889
"PDD30",0.2685544,0.8632276,0.9475539,0.9132785,0.9450092,0.9050558,0.8916034,0.9353633,0.9634639,0.9544156,0.9711511,0.948695,0.8906937,0.8451101,0.8801672,0.9516242,0.959832,0.9526793,0.9236939,0.9212409,0.0107034,0.9584972,0.8214776,0.9841595,0.8541866,0.9232592,0.94152,0.9365958,0.9428397,0.9250796,0.3768138,0.9613876,0.966872,0.01943702,0.8626453,0.8808601,0.9128314,0.8818157,0.9832391,0.8084524,0.9631915,0.8765095,0.8746248,0.9466665,0.9320027,0.9351875,0.6568696,0.9565828,0.8612687,0.8789173,0.9691434,0.5983215,0.7883503,0.6737999,0.90769,0.4158417,0.8449818,0.9659055,0.9902915,0.8099343,0.9266136,0.9416349,0.9172629,0.9639681,0.9735847,0.9531872,0.9543054,0.9486511,0.9733256,0.9849623,0.9624274
