"","cg03819286","cg06998282","cg05313680","cg15175129","cg22502206","cg00622654","cg11709544","cg19104399","cg07621949","cg11280964","cg18127922","cg01947949","cg15485670","cg24206614","cg25936334","cg20248774","cg08324610","cg11596241","cg24315042","cg08485937","cg09214323","cg24280297","cg16196713","cg00933411","cg00425213"
"CTRL11",0.6228157,0.02548028,0.7838887,0.2940911,0.1495095,0.009460312,0.2055361,0.9763993,0.9124662,0.03565539,0.3584968,0.05588453,0.1777547,0.4914528,0.04414026,0.2737247,0.4063042,0.9229523,0.9141632,0.9576894,0.7588567,0.01492225,0.007661531,0.9410301,0.7630495
"CTRL40",0.6522175,0.03808675,0.8415483,0.2604377,0.1506548,0.01720075,0.2273637,0.9665253,0.8860822,0.03465598,0.3437803,0.04177913,0.1673691,0.5297116,0.06291718,0.3083733,0.3154972,0.8199377,0.8425151,0.9402278,0.7058457,0.02207305,0.003134328,0.8814675,0.7612966
"DLB35",0.6249905,0.02191904,0.799659,0.2563516,0.1459652,0.0193948,0.197119,0.949473,0.8718134,0.02948385,0.3543754,0.04863222,0.146216,0.5623794,0.06319862,0.3410227,0.3513207,0.8208583,0.9116185,0.9489288,0.7688534,0.01245983,0.003339695,0.9004046,0.7559096
"PD9",0.6797654,0.05433532,0.7871246,0.1738017,0.1422856,0.01737915,0.1879513,0.9650842,0.8794188,0.04696614,0.3598426,0.0339451,0.2619234,0.6016014,0.07795777,0.3430737,0.3913069,0.8710979,0.8730277,0.8571328,0.7267418,0.01509165,0.02112269,0.8722415,0.8790657
"CTRL79",0.5860882,0.0336242,0.7466409,0.1899326,0.08523384,0.0177033,0.182586,0.960745,0.8817427,0.04903603,0.3612014,0.05509012,0.1947761,0.5444164,0.04001459,0.3045657,0.300497,0.8033911,0.8702866,0.9373793,0.7058151,0.01852042,0.006684492,0.9145929,0.7710219
"PDD61",0.6151405,0.01680915,0.7676438,0.2065747,0.1969772,0.03214128,0.2554244,0.94344,0.8610823,0.0419871,0.3302314,0.01462166,0.1729829,0.5128741,0.06398206,0.3214567,0.30993,0.8035887,0.8385997,0.9574669,0.784444,0.01566976,0.006638343,0.8809837,0.6933422
"PD56",0.6455662,0.03254955,0.8614238,0.1614858,0.1134651,0.01513307,0.1604526,0.9756174,0.8980097,0.020975,0.3318562,0.06382979,0.1843501,0.5308411,0.0497676,0.2397062,0.2522997,0.8426467,0.9427097,0.9408515,0.7853076,0.01372525,0.005284983,0.8928703,0.7814829
"CTRL55",0.6304546,0.02188557,0.8416919,0.2075276,0.1510932,0.01520012,0.2057727,0.9789937,0.8527469,0.03817142,0.3664702,0.08933508,0.09817073,0.6288154,0.05720123,0.311164,0.2813728,0.8382279,0.8661509,0.939794,0.821423,0.01240709,0.001485884,0.9325866,0.7718349
"CTRL37",0.6503321,0.01704195,0.7939117,0.2582558,0.1288548,0.0165275,0.3078188,0.9563226,0.8762293,0.02466468,0.321061,0.1196866,0.1449788,0.6888699,0.06171694,0.2799885,0.1711703,0.8869668,0.9018976,0.8953796,0.6968328,0.01619121,0.00551081,0.9406443,0.8909368
"CTRL82",0.6210987,0.02934017,0.8080898,0.2121644,0.152069,0.01363212,0.1790568,0.9614684,0.8278847,0.03243076,0.2687043,0.04586002,0.222029,0.4683638,0.06017942,0.2680406,0.2687706,0.8486054,0.8968306,0.9325683,0.7613488,0.01689866,0.005375854,0.9271646,0.7893086
"CTRL32",0.6778673,0.01575138,0.8391805,0.3423709,0.09751323,0.01716768,0.25283,0.980001,0.8894288,0.05122243,0.3671887,0.04569378,0.1313747,0.7314294,0.06111929,0.2650097,0.2370924,0.8844699,0.9329005,0.9539693,0.6979944,0.02039744,0.01237879,0.9511895,0.8909438
"PD2",0.7070626,0.1222624,0.8541787,0.3007731,0.101559,0.01592271,0.3141391,0.9555838,0.8954005,0.09124341,0.3280423,0.03511572,0.1803128,0.6632303,0.05255057,0.2941413,0.3482743,0.9190878,0.8972654,0.9149375,0.8261214,0.0240799,0.01706271,0.8990363,0.839896
"PD54",0.5605998,0.01310847,0.7980215,0.2285887,0.1367883,0.00797048,0.2333104,0.9762151,0.8927785,0.03176969,0.2992236,0.038369,0.1389563,0.5429698,0.06574222,0.3121731,0.3292402,0.8145449,0.8407589,0.942096,0.7160494,0.0111328,0.004115865,0.831769,0.7523873
"CTRL48",0.5770539,0.04088423,0.7191107,0.2041347,0.1520982,0.01322751,0.230979,0.9430285,0.8638345,0.0354453,0.363792,0.04942178,0.1818648,0.5160192,0.05389004,0.2920426,0.2926234,0.8442074,0.8477513,0.9558706,0.7286834,0.01205838,0.01187481,0.9004784,0.7169639
"PD49",0.5822484,0.02249333,0.6811551,0.1902658,0.1425829,0.02069028,0.1470138,0.9504303,0.8671194,0.02229739,0.3067772,0.025982,0.1857599,0.5157509,0.04658066,0.2355272,0.4233427,0.8497982,0.8680071,0.8863635,0.7943443,0.01538011,0.01259792,0.8237184,0.8303726
"PDD69",0.5987118,0.0217607,0.7063333,0.186208,0.1467955,0.02076175,0.2621521,0.9561528,0.8277649,0.06777933,0.4164618,0.03841833,0.1381487,0.6308378,0.0629509,0.3192483,0.4218013,0.8707146,0.8816665,0.8988073,0.788108,0.01482677,0.00502008,0.8748144,0.7525108
"PD45",0.5839529,0.03497441,0.7782692,0.2722979,0.1612595,0.02562033,0.2385901,0.9641399,0.8715594,0.04036519,0.3489187,0.03455899,0.1094434,0.514211,0.07279168,0.3002339,0.3235399,0.8429155,0.8450627,0.9413396,0.7557767,0.0127681,0.00877355,0.8954846,0.705166
"CTRL12",0.6697269,0.0438193,0.7990176,0.2864853,0.1363371,0.01857624,0.1926932,0.932845,0.7927766,0.0430978,0.3041862,0.05533063,0.1736527,0.6198368,0.04628906,0.2128938,0.2962621,0.892029,0.8642531,0.9180301,0.7261071,0.01520233,0.01510737,0.9179236,0.8944097
"PD33",0.5887128,0.010522,0.7800956,0.2329842,0.1511668,0.02399917,0.2148196,0.9504724,0.817967,0.03352147,0.2897907,0.04070906,0.0994709,0.5791381,0.07133448,0.2334045,0.1376564,0.8538578,0.8162165,0.8891839,0.7273682,0.0154541,0.01136018,0.9097227,0.7779633
"PD51",0.6454874,0.01641938,0.7747872,0.175266,0.1419474,0.01287156,0.1209726,0.9855372,0.8586263,0.0198959,0.2969003,0.06245873,0.1512945,0.4993953,0.05309491,0.3178832,0.2608856,0.8280498,0.8818662,0.9589432,0.7320297,0.01009501,0.005310947,0.9215028,0.7679499
"PD13",0.717599,0.1093481,0.7568982,0.2815364,0.1260511,0.01111668,0.2012873,0.9473934,0.7879678,0.02570062,0.3556181,0.03225806,0.170916,0.6508667,0.0656473,0.2303485,0.3062238,0.9147214,0.8712819,0.9440272,0.7349192,0.01007905,0.009962883,0.8863129,0.9379825
"PDD45",0.6713478,0.03189362,0.8644502,0.222476,0.1388661,0.01823657,0.2146585,0.9698236,0.8714412,0.04307599,0.3703508,0.03244838,0.1757426,0.6399326,0.07761755,0.2950932,0.256771,0.8828983,0.8977703,0.9253095,0.7335548,0.02727934,0.006542443,0.9111698,0.8632979
"PD20",0.6874434,0.06436898,0.7429787,0.1955702,0.1190728,0.02054854,0.2980658,0.9489882,0.899147,0.02567776,0.2518695,0.04411765,0.2575627,0.6671115,0.05808477,0.2500623,0.2126987,0.8883315,0.9157087,0.9161552,0.7373938,0.01450017,0.01636364,0.900777,0.9620459
"CTRL83",0.6416198,0.02454572,0.769401,0.2086868,0.1726505,0.02106518,0.1835976,0.962925,0.850132,0.01903725,0.311173,0.02545935,0.1423249,0.5756772,0.05309735,0.2736797,0.3878251,0.8879042,0.8423361,0.9461033,0.7781944,0.009058262,0.009628747,0.8327339,0.823224
"PDD7",0.6134205,0.09525073,0.7979309,0.2759838,0.1308107,0.01680489,0.2480335,0.9567892,0.8408551,0.03387736,0.3459119,0.07690593,0.227518,0.6127131,0.06262231,0.3617933,0.246672,0.914491,0.8976977,0.9458964,0.7773301,0.01532871,0.02956081,0.8798888,0.813433
"CTRL71",0.6283954,0.04283365,0.7798129,0.2135115,0.1655157,0.02223447,0.1699891,0.9691754,0.7940314,0.03849687,0.3295767,0.07813733,0.2584523,0.5212494,0.06287575,0.2934037,0.3174837,0.8658823,0.864314,0.9330591,0.8066894,0.02504856,0.00318838,0.9246058,0.6959665
"PDD47",0.5613023,0.01003105,0.8099901,0.2510794,0.1689887,0.02214623,0.214831,0.9681704,0.8709027,0.02550652,0.3566535,0.02177411,0.1783311,0.5057844,0.05084746,0.2557499,0.3248792,0.8524709,0.8564413,0.9305319,0.7111644,0.01699252,0.0002506266,0.9179298,0.8899304
"PD32",0.5154441,0.002803989,0.7513647,0.1760978,0.1228872,0.01517837,0.2219651,0.9607408,0.8039665,0.02707196,0.2776974,0.04951667,0.1293833,0.4940314,0.05391554,0.258443,0.190451,0.809238,0.8274742,0.9082711,0.7020509,0.01459088,0.008136235,0.9108532,0.6688879
"CTRL6",0.6954509,0.03108493,0.7674294,0.2493447,0.126696,0.01908469,0.2128452,0.9640737,0.8302272,0.03098153,0.3698111,0.04850687,0.1248945,0.5976238,0.0604534,0.2823704,0.1745571,0.939312,0.8940339,0.8944331,0.6315357,0.01515325,0.02190685,0.8836992,0.9569393
"CTRL46",0.5576862,0.04594976,0.7445656,0.2255917,0.1578786,0.0170587,0.2016109,0.9670045,0.8305552,0.03745821,0.2972048,0.02719298,0.1679654,0.4631118,0.07464103,0.2951952,0.3680911,0.8218401,0.8580044,0.9273099,0.71586,0.01425465,0.01398981,0.848239,0.7167652
"PD17",0.6629167,0.02091621,0.8148673,0.2248712,0.1103741,0.01751361,0.2379035,0.9674113,0.9274745,0.03161303,0.3876408,0.04523121,0.1555393,0.6199644,0.06507353,0.2745832,0.3158709,0.8940411,0.9199697,0.9326577,0.7686887,0.01948421,0.007373746,0.9269256,0.8872185
"PDD10",0.6636301,0.07663288,0.7567021,0.2740519,0.1388139,0.02239652,0.2398284,0.9621252,0.8691605,0.04042406,0.3776023,0.0485905,0.1962121,0.6545301,0.06300776,0.3486814,0.3468936,0.8901352,0.8984887,0.8939733,0.8443803,0.01618143,0.01332729,0.9137507,0.8292923
"DLB12",0.6303809,0.002409501,0.8053198,0.1852245,0.140305,0.01572482,0.2049666,0.9820813,0.8611067,0.009824032,0.3039559,0.03798462,0.1728838,0.5358172,0.07188786,0.3285519,0.3437037,0.8630756,0.9292837,0.936153,0.66627,0.01693587,0.006738427,0.8560544,0.7779115
"CTRL44",0.6426763,0.01023908,0.8195172,0.1929297,0.1683849,0.02027151,0.2763987,0.9803588,0.8427596,0.02496723,0.407979,0.06564551,0.09306569,0.6304564,0.05102516,0.2915046,0.4145687,0.8277539,0.8223025,0.9309376,0.8214147,0.008587896,0.002941176,0.8388452,0.7666164
"CTRL86",0.6263859,0.01122545,0.7171684,0.1852265,0.1850243,0.01352073,0.206273,0.9751131,0.7858292,0.02828306,0.3323653,0.02830649,0.1653543,0.6098368,0.04475025,0.258303,0.2833346,0.8740685,0.8874588,0.8592492,0.7723588,0.009016161,0.007967452,0.8452133,0.74022
"DLB27",0.5686335,0.0145553,0.7941835,0.1876824,0.1491077,0.00905743,0.1994862,0.9651458,0.8279459,0.01849393,0.355061,0.07912154,0.1405797,0.5820159,0.07526596,0.2931718,0.2670522,0.8133223,0.8247762,0.863608,0.7080277,0.01821586,0.009134158,0.8699542,0.7724291
"PD18",0.6436649,0.02559868,0.7732237,0.2309569,0.1253849,0.01256334,0.2607311,0.9899218,0.8965495,0.02804118,0.3115687,0.05932613,0.3175141,0.616272,0.04965472,0.2395111,0.3182513,0.8936649,0.9354411,0.9405724,0.8018204,0.01662693,0.01029588,0.8319624,0.7958836
"CTRL20",0.6108378,0.02874536,0.8342344,0.2163921,0.1169866,0.01755793,0.2739908,0.965614,0.9060592,0.04735723,0.3252968,0.06096662,0.08207934,0.5667685,0.06672288,0.2974529,0.2448019,0.829942,0.8908814,0.9027972,0.7246318,0.02281423,0.005041886,0.8758627,0.790256
"PDD50",0.5721983,0.04372448,0.7324798,0.237347,0.1306675,0.01846904,0.2416014,0.9692031,0.8409491,0.02935633,0.2355105,0.04668737,0.179677,0.5616615,0.04708155,0.2291725,0.1844232,0.7968106,0.8462106,0.9263376,0.6845879,0.01304278,0.009820333,0.8919188,0.8168652
"DLB21",0.5855242,0.0131156,0.7444316,0.1638389,0.1613467,0.0182639,0.1620424,0.9633787,0.830121,0.03174065,0.2760464,0.04843735,0.1625644,0.4845909,0.04984146,0.2459946,0.2104398,0.8302195,0.845,0.934656,0.7282529,0.01127799,0.003742084,0.8798284,0.7652765
"CTRL53",0.6468433,0.001554871,0.7679118,0.230369,0.1538972,0.0134622,0.1852332,0.9775332,0.850119,0.03989839,0.3737132,0.04315533,0.1812081,0.6052718,0.04271415,0.298685,0.3142565,0.8775609,0.8323564,0.913477,0.7894622,0.01442601,0.01264963,0.869008,0.7853208
"CTRL65",0.598808,0.02038345,0.7324337,0.1866587,0.1878113,0.0140323,0.1634573,0.9505685,0.8441769,0.03453268,0.3088721,0.03777949,0.1994475,0.5263088,0.06221349,0.2951343,0.2234798,0.7696447,0.882374,0.9479014,0.7386388,0.01631241,0.008504205,0.8427654,0.7075717
"PD38",0.6770919,0.05756094,0.7744712,0.274787,0.1783562,0.01598994,0.2801976,0.9563125,0.8336507,0.03256834,0.3661704,0.03825137,0.06489676,0.6222457,0.06862092,0.3622024,0.4545516,0.8174623,0.893193,0.9216625,0.759891,0.02013866,0.008598841,0.8543067,0.7641177
"CTRL18",0.6446168,0.01211201,0.7665962,0.2609288,0.1382916,0.006167846,0.2080924,0.9788134,0.9226471,0.02666442,0.3675229,0.07595112,0.2146939,0.6234136,0.05606463,0.2864713,0.1727657,0.8862025,0.8899843,0.9363457,0.6980527,0.01025423,0.00280758,0.9228278,0.8367913
"PDD36",0.6522195,0.01935486,0.6403933,0.1846553,0.146429,0.02012308,0.2680001,0.9662484,0.8024475,0.04305889,0.3905559,0.02801627,0.1543887,0.6207193,0.05311573,0.2657791,0.4607286,0.8801732,0.9107019,0.8921134,0.8275949,0.0152623,0.01002128,0.8089279,0.8212307
"PDD64",0.6886911,0.03931632,0.7759455,0.2135297,0.1298347,0.01284176,0.1920468,0.9665788,0.849988,0.04938333,0.3094345,0.02683857,0.2317979,0.6387507,0.07427436,0.258625,0.4062777,0.8570367,0.8807461,0.9176169,0.7959568,0.01715635,0.006735395,0.8727394,0.8227567
"PD42",0.6677308,0.03900319,0.809333,0.3309764,0.1430875,0.02185053,0.2690945,0.9734043,0.8210332,0.01199,0.2346157,0.05446485,0.1507177,0.7129361,0.06019262,0.3032555,0.3130912,0.9284625,0.9147424,0.8891296,0.7658547,0.01805232,0.01320807,0.9106578,0.9008604
"PDD33",0.6858582,0.02601227,0.8458152,0.1694532,0.1165121,0.008409506,0.270198,0.9600657,0.8388421,0.01840608,0.2727483,0.05917496,0.1118721,0.598841,0.03849249,0.3062941,0.2616891,0.902956,0.9112115,0.9186123,0.7701297,0.01487267,0.01153353,0.9482688,0.9065104
"PDD65",0.6493334,0.007785658,0.6789338,0.1752191,0.1446682,0.02511921,0.3125053,0.9877865,0.7426626,0.03553213,0.3903844,0.0326087,0.1701534,0.6302764,0.06028636,0.3203088,0.4884138,0.8409684,0.8311147,0.895349,0.7567541,0.01855877,0.005289673,0.8188026,0.7389954
"PD62",0.6562228,0.01990261,0.7708969,0.29338,0.1597025,0.01694493,0.2107911,0.9617097,0.9043652,0.02350631,0.2834588,0.04947434,0.1579527,0.5659716,0.05232484,0.2930957,0.2363753,0.8436279,0.8361136,0.89748,0.8354201,0.0103964,0.01132879,0.8606859,0.9018745
"PDD77",0.7255696,0.05453199,0.7130324,0.1926478,0.1406335,0.0198206,0.2844363,0.9516677,0.8759597,0.05808287,0.3758506,0.03026401,0.1741725,0.664279,0.05170207,0.2973863,0.3957976,0.8975589,0.898971,0.9031632,0.8731959,0.01885148,0.01517911,0.8823788,0.8047098
"PDD2",0.7660019,0.06315682,0.8250324,0.275547,0.1247962,0.01623803,0.3185057,0.9517736,0.8725984,0.0421466,0.2838087,0.06692913,0.2486528,0.6194308,0.06602187,0.2428326,0.2763704,0.8745203,0.895379,0.9234946,0.7703922,0.01532871,0.008023136,0.830838,0.8356894
"PD25",0.6870107,0.01650148,0.8615719,0.2944638,0.1320045,0.01569174,0.1817079,0.9617581,0.9122455,0.03154254,0.3128725,0.04932147,0.162753,0.6977829,0.04939305,0.2953573,0.1881452,0.8598651,0.9111793,0.9250781,0.7667095,0.009387302,0.007243935,0.9103062,0.8867871
"DLB14",0.6751716,0.006575715,0.7850462,0.1912685,0.1395751,0.01609307,0.2191819,0.9736497,0.8363268,0.03037084,0.37566,0.05580762,0.1534688,0.6427923,0.05661914,0.275137,0.2853819,0.8538584,0.8466197,0.9414962,0.8053357,0.00998508,0.005404884,0.8783389,0.7726284
