"","cg21057613","cg21864071","cg08051076","cg21931717","cg14856606","cg04030905","cg22181664","cg26835908","cg03766823","cg12882476","cg08368441","cg26115216","cg05279387","cg03321592","cg20015921","cg21595526","cg19259574","cg22250642"
"CTRL44",0.01075496,0.007217059,0.01487771,0.2101512,0.8579937,0.008455979,0.9064456,0.04085248,0.01297367,0.009063165,0.02345369,0.854659,0.5724993,0.03553038,0.03690605,0.002811245,0.02570556,0.004541864
"CTRL86",0.009165979,0.005455431,0.003732825,0.001477261,0.824298,0.004879224,0.8915253,0.05120676,0.003707394,0.004206193,0.01858328,0.8515503,0.4976941,0.03565162,0.02344646,0.008945288,0.02849431,0.008833568
"DLB27",0.01444824,0.00926028,0.01067708,0.0106452,0.8206273,0.02134904,0.840851,0.03551283,0.01098683,0.01012209,0.02424679,0.868984,0.40705,0.06201172,0.03888507,0.007278481,0.02612563,0.007150039
"PD18",0.02197023,0.008688204,0.01895735,0.2075472,0.7936187,0.009699375,0.9236735,0.04505093,0.01012586,0.005326777,0.01492353,0.8125183,0.6038585,0.02621003,0.02740416,0.002930208,0.02731345,0.007624769
"CTRL20",0.01726058,0.007389163,0.01357798,0.003458712,0.8017507,0.01072279,0.9355507,0.05739924,0.01088892,0.006271478,0.0276437,0.8565804,0.4843976,0.04842498,0.03230578,0.008338125,0.03599065,0.006280149
"PDD50",0.02060044,0.01103521,0.01202207,0.1882481,0.8259861,0.009518332,0.921161,0.04186902,0.008538991,0.008036107,0.02780365,0.8320122,0.4595326,0.04861548,0.03602029,0.008768434,0.03170707,0.01001448
"DLB21",0.009787825,0.009681881,0.001136364,0.004456825,0.8392807,0.0112538,0.9109437,0.02843711,0.007668576,0.004958842,0.01119023,0.7543158,0.4775913,0.04401727,0.007288445,0.01271915,0.02358992,0.006560152
"CTRL53",0.01480427,0.01426383,0.01791737,0.01551615,0.842411,0.005719776,0.9240067,0.03769413,0.007498008,0.008737224,0.01791393,0.918709,0.4989077,0.04535303,0.02482548,0.004605544,0.0217946,0.004677548
"CTRL65",0.02578531,0.01321444,0.01167871,0.008026836,0.8701945,0.007024411,0.9185161,0.04343997,0.01161842,0.01031954,0.02744389,0.8237426,0.6004666,0.04492694,0.02264408,0.008175834,0.02406917,0.001515726
"PD38",0.01351479,0.01527676,0.01263941,0.006271861,0.7876772,0.01127155,0.9069925,0.07952571,0.01913399,0.01643559,0.01533574,0.8235769,0.5296477,0.04713475,0.03651929,0.01570215,0.0326013,0.01062171
"CTRL18",0.0191804,0.004571563,0.007393365,0.0113738,0.8010252,0.009473401,0.965921,0.02879816,0.005684415,0.008721506,0.01718715,0.8421133,0.4730181,0.03426636,0.01998271,0.006158219,0.02765108,0.003471092
"PDD36",0.01940748,0.01368673,0.01676617,0.007468168,0.7849649,0.0228108,0.8562906,0.0380323,0.01152143,0.01183921,0.01991885,0.8854,0.5020008,0.04556435,0.03869135,0.01143542,0.02563564,0.009089151
"PDD64",0.01229768,0.01181952,0.01463229,0.01154375,0.8757356,0.01181328,0.9364346,0.04104217,0.004652439,0.01620509,0.0201824,0.8716614,0.5463405,0.03185709,0.02621894,0.01179651,0.03193607,0.01070611
"PD42",0.01354096,0.01287604,0.01710548,0.01108238,0.8699095,0.04089471,0.8850306,0.04435901,0.01239716,0.008601739,0.01300404,0.7404984,0.4993424,0.0314125,0.02792676,0.01145879,0.03639948,0.00930573
"PDD33",0.02297317,0.01171914,0.01243627,0.01240458,0.867722,0.03452508,0.9054543,0.02365652,0.01600182,0.009494716,0.0218494,0.8911523,0.4532744,0.04462243,0.02194861,0.01018711,0.0340885,0.01092842
"PDD65",0.006765018,0.006778268,0.01295696,0.01669675,0.8768464,0.01203081,0.8801161,0.0467969,0.01510624,0.003112494,0.01604171,0.8510939,0.5366129,0.03620119,0.01594383,0.009615385,0.03025292,0.00780809
"PD62",0.007025213,0.004364646,0.01466656,0.009926353,0.8302245,0.009832139,0.9037843,0.02712313,0.01773809,0.01351829,0.01203523,0.8271545,0.5220257,0.03662658,0.02442831,0.01315073,0.02570148,0.01406534
"PDD77",0.005829985,0.02277179,0.009522043,0.01494754,0.9110832,0.01925698,0.835892,0.06313552,0.01031169,0.0127223,0.02638601,0.8630249,0.592238,0.04772767,0.04322756,0.01030163,0.02729556,0.01410788
"PDD2",0.02799736,0.0193158,0.02050963,0.0222387,0.8198528,0.02010162,0.8959822,0.04143261,0.03448128,0.01320755,0.02757331,0.8581447,0.5417841,0.04131192,0.04352718,0.01793283,0.04407979,0.01655595
"PD25",0.01254413,0.005009201,0.009142395,0.3804665,0.862458,0.007664406,0.9434119,0.04606558,0.01003936,0.006136496,0.02050406,0.8808061,0.4979295,0.03828658,0.004342883,0.009833985,0.02600154,0.002618328
"DLB14",0.01051314,0.01476101,0.009756098,0.004459167,0.8496769,0.01205388,0.9292662,0.05189829,0.01247051,0.000948047,0.02081269,0.8042287,0.5050616,0.03405625,0.0293795,0.01633739,0.03807839,0.006256742
