"","cg18740718","cg00140235","cg09060462","cg14144850","cg21931717","cg14856606","cg04030905","cg22181664","cg26835908","cg12635019","cg12882476","cg08368441","cg26115216","cg03321592","cg21595526","cg19259574","cg18014247"
"CTRL53",0.01939105,0.001797349,0.03589066,0.8859203,0.01551615,0.842411,0.005719776,0.9240067,0.03769413,0.1545303,0.008737224,0.01791393,0.918709,0.04535303,0.004605544,0.0217946,0.007556043
"CTRL65",0.01520971,0.01437135,0.037699,0.8618652,0.008026836,0.8701945,0.007024411,0.9185161,0.04343997,0.1954005,0.01031954,0.02744389,0.8237426,0.04492694,0.008175834,0.02406917,0.01540365
"PD38",0.03002655,0.001307692,0.1059797,0.9276815,0.006271861,0.7876772,0.01127155,0.9069925,0.07952571,0.2230301,0.01643559,0.01533574,0.8235769,0.04713475,0.01570215,0.0326013,0.01328683
"CTRL18",0.01679267,0.008009344,0.02300856,0.9546068,0.0113738,0.8010252,0.009473401,0.965921,0.02879816,0.1573351,0.008721506,0.01718715,0.8421133,0.03426636,0.006158219,0.02765108,0.00510204
"PDD36",0.01930526,0.004425491,0.1106561,0.8954743,0.007468168,0.7849649,0.0228108,0.8562906,0.0380323,0.1824767,0.01183921,0.01991885,0.8854,0.04556435,0.01143542,0.02563564,0.01491339
"PDD64",0.01679343,0.01004543,0.08967349,0.9400876,0.01154375,0.8757356,0.01181328,0.9364346,0.04104217,0.1173479,0.01620509,0.0201824,0.8716614,0.03185709,0.01179651,0.03193607,0.01404398
"PD42",0.03735326,0.01315023,0.04116971,0.9089301,0.01108238,0.8699095,0.04089471,0.8850306,0.04435901,0.1310563,0.008601739,0.01300404,0.7404984,0.0314125,0.01145879,0.03639948,0.0163111
"PDD33",0.0229272,0.008679928,0.06739346,0.938061,0.01240458,0.867722,0.03452508,0.9054543,0.02365652,0.132873,0.009494716,0.0218494,0.8911523,0.04462243,0.01018711,0.0340885,0.01425644
"PDD65",0.01266563,0.00643389,0.08177895,0.8482612,0.01669675,0.8768464,0.01203081,0.8801161,0.0467969,0.1083573,0.003112494,0.01604171,0.8510939,0.03620119,0.009615385,0.03025292,0.007547045
"PD62",0.01875105,0.01395419,0.09579008,0.9353388,0.009926353,0.8302245,0.009832139,0.9037843,0.02712313,0.1752012,0.01351829,0.01203523,0.8271545,0.03662658,0.01315073,0.02570148,0.01810965
"PDD77",0.01540971,0.008212797,0.1212066,0.9600065,0.01494754,0.9110832,0.01925698,0.835892,0.06313552,0.1355466,0.0127223,0.02638601,0.8630249,0.04772767,0.01030163,0.02729556,0.01902609
"PDD2",0.02234787,0.01220641,0.1608123,0.8941027,0.0222387,0.8198528,0.02010162,0.8959822,0.04143261,0.1387079,0.01320755,0.02757331,0.8581447,0.04131192,0.01793283,0.04407979,0.02376188
"PD25",0.01743455,0.009231963,0.0520089,0.9391677,0.3804665,0.862458,0.007664406,0.9434119,0.04606558,0.1606169,0.006136496,0.02050406,0.8808061,0.03828658,0.009833985,0.02600154,0.01655707
"DLB14",0.01577605,0.001937332,0.05485397,0.8843481,0.004459167,0.8496769,0.01205388,0.9292662,0.05189829,0.1802575,0.000948047,0.02081269,0.8042287,0.03405625,0.01633739,0.03807839,0.01361604
