"","cg17805199","cg07996485","cg10138044","cg23834525","cg23657782","cg21951848","cg13874979","cg05348770","cg06952719","cg06998282","cg14904079","cg00140235","cg05313680","cg00391977","cg23882019","cg13690038","cg20357416","cg14723638","cg15175129","cg14318068","cg01674530","cg12372924","cg21598294","cg09060462","cg07253510","cg08467643","cg24665412","cg11280964","cg11163901","cg18127922","cg02941135","cg02097462","cg18880384","cg01947949","cg14144850","cg14856606","cg04030905","cg22181664","cg10762038","cg11312462","cg02853470","cg25936334","cg01753595","cg16985117","cg27312391","cg20936920","cg24517989","cg11971077","cg12635019","cg08368441","cg26115216","cg17159550","cg05788267","cg09584003","cg13773306","cg22364932","cg16941122","cg16959863","cg13871037","cg24855045","cg14350358","cg07755528","cg03321592","cg22200330","cg14855519","cg03967521","cg07642754","cg08485937","cg00901585","cg25284031","cg06410591","cg23092527","cg22053720","cg25981350","cg21595526","cg09508356","cg20075042","cg08685832","cg05652783","cg20850582","cg24683035","cg19259574","cg15283292","cg15197657","cg24767698","cg07904447","cg00271390","cg10687936","cg24384430","cg18014247","cg23411587","cg00612672","cg03678860","cg10657611","cg05747963","cg16085649","cg22806431","cg15310800","cg11341440"
"PDD5",0.7247588,0.92167,0.8820545,0.09689217,0.9485225,0.922515,0.9728871,0.9774895,0.03323134,0.1288634,0.9274088,0.01357594,0.7170836,0.4692189,0.6279094,0.02620841,0.786489,0.7187698,0.2112112,0.8421946,0.665334,0.929462,0.9550957,0.1542117,0.9427832,0.9100986,0.9207719,0.04101662,0.01370733,0.3938081,0.6248772,0.8211682,0.4982622,0.04590314,0.8739275,0.8197402,0.02408667,0.897784,0.9005379,0.8398884,0.8590293,0.07241083,0.2896086,0.920043,0.9481146,0.9069377,0.7350803,0.01102296,0.1842276,0.02404667,0.7485493,0.6330379,0.9128338,0.7024296,0.6269414,0.9682362,0.6149285,0.9211541,0.890349,0.7153221,0.7846341,0.7522011,0.03921982,0.04195389,0.2214954,0.00691484,0.7755418,0.9399507,0.9092682,0.7225435,0.08749317,0.9555022,0.66825,0.5828471,0.01839144,0.6364119,0.936853,0.9367904,0.9523299,0.02746442,0.01601679,0.02444575,0.9199235,0.4391058,0.9480755,0.03799432,0.9392902,0.8888259,0.193038,0.02124549,0.9406706,0.9432145,0.788305,0.9276004,0.9677176,0.611409,0.7026913,0.8961265,0.8473229
"PD37",0.730983,0.9320993,0.8144526,0.09074254,0.9604375,0.9491255,0.973249,0.9655214,0.02354061,0.02764364,0.9112703,0.004586832,0.8169615,0.4622702,0.7047494,0.01652408,0.7539959,0.6432401,0.2460113,0.8685716,0.6065958,0.9710906,0.981035,0.03649074,0.9445968,0.8619563,0.8900819,0.02325784,0.0111291,0.3721046,0.6797815,0.8053047,0.4109965,0.05676613,0.9636415,0.8422494,0.00762791,0.9178695,0.860246,0.7781428,0.8407347,0.05474493,0.3021189,0.8426878,0.9740466,0.9534777,0.639176,0.0128388,0.2001285,0.02621865,0.8757145,0.7327775,0.9507851,0.7025029,0.581637,0.9729635,0.624727,0.929848,0.9516904,0.7071334,0.8506646,0.6340291,0.05271499,0.0129895,0.1798303,0.01049711,0.6641664,0.9106624,0.7944724,0.8070928,0.1671315,0.9568616,0.6903381,0.6274463,0.003757044,0.6881531,0.9087812,0.917024,0.9280565,0.03156661,0.01305695,0.01869054,0.8900942,0.3628446,0.91393,0.02535566,0.9370982,0.9412246,0.07513915,0.01600121,0.9565956,0.8415465,0.7987438,0.9661352,0.9374889,0.4430956,0.7464116,0.9657727,0.83348
"CTRL80",0.6470902,0.927272,0.911054,0.05339098,0.9574129,0.9708686,0.9735886,0.9473431,0.03937532,0.005661807,0.960339,0.00827801,0.7964061,0.4007021,0.7826513,0.02354024,0.7242621,0.7360569,0.150047,0.7994954,0.6583919,0.9726331,0.9797497,0.0450051,0.9566496,0.9407757,0.8678925,0.01400426,0.008466064,0.3008691,0.3849946,0.8102671,0.4150509,0.03364614,0.7913867,0.7937445,0.03403874,0.9189585,0.8463043,0.8068036,0.807405,0.06841612,0.293265,0.8814155,0.9777649,0.954023,0.7075935,0.002510622,0.105076,0.02187069,0.8664484,0.5741805,0.8887136,0.7527378,0.5751812,0.9670893,0.5984265,0.9317265,0.9275052,0.6514582,0.7818278,0.5436723,0.03917326,0.01926752,0.1400628,0.005323991,0.7170389,0.9320526,0.8288539,0.7867475,0.2177133,0.9702019,0.7432643,0.501269,0.002829712,0.5763569,0.9049237,0.92219,0.9369789,0.02182019,0.005119891,0.02593711,0.910159,0.4480847,0.9077448,0.029191,0.893313,0.9567089,0.1113811,0.008743206,0.9777653,0.8867136,0.8368461,0.9637596,0.9598074,0.328562,0.5666564,0.9211848,0.8539303
"PDD74",0.6779012,0.9226201,0.7841871,0.06885436,0.9732898,0.9528762,0.9469403,0.9591542,0.05753177,0.04023445,0.9146574,0.007985734,0.8602021,0.4287545,0.6950203,0.02263274,0.768838,0.7043532,0.1776556,0.8550102,0.5751725,0.9744455,0.9901973,0.03750531,0.9284845,0.9023445,0.9487703,0.05384801,0.001699293,0.2784364,0.6048876,0.8247635,0.4251284,0.06064894,0.9883795,0.8232384,0.008221991,0.9630613,0.9298061,0.8046962,0.8711584,0.07114014,0.3194478,0.8787571,0.9878177,0.9199159,0.5839174,0.007488219,0.1624079,0.02669972,0.8443951,0.5885891,0.9120372,0.6782537,0.6894342,0.958524,0.6522646,0.9399161,0.8900612,0.6609899,0.88174,0.6311048,0.05017048,0.02694706,0.1878757,0.01549869,0.7763055,0.9289297,0.8370279,0.8439748,0.1884375,0.9628651,0.7051751,0.6068587,0.004687042,0.6543333,0.9119458,0.9342785,0.8982131,0.02163331,0.01072885,0.02262312,0.9344986,0.4055882,0.9294344,0.06918431,0.9613342,0.9451522,0.058321,0.009779032,0.9708141,0.8402893,0.8412298,0.9486009,0.9500714,0.4131996,0.6762055,0.9548516,0.9151798
"CTRL62",0.7196852,0.9331803,0.8811893,0.09781276,0.9621808,0.9671587,0.9568686,0.9664297,0.05272862,0.003640725,0.8859762,0.0007287664,0.7475961,0.4311152,0.6896034,0.01842697,0.8012537,0.6579113,0.2361657,0.8297476,0.5778567,0.9841006,0.9753543,0.05000979,0.9428686,0.8841159,0.9010353,0.02090639,0.0085796,0.279855,0.5109375,0.7097833,0.5880733,0.05814688,0.9161328,0.8531067,0.007853095,0.9005684,0.894204,0.8600269,0.9078769,0.06791809,0.3350635,0.8713968,0.9701876,0.9802777,0.6744855,0.01093823,0.1870192,0.02830644,0.8864003,0.5888483,0.9455517,0.5975592,0.8124961,0.9706697,0.6575735,0.8861621,0.9661757,0.7275139,0.8646429,0.566755,0.04015425,0.01973693,0.2221599,0.003466798,0.6417374,0.927581,0.8439078,0.8280698,0.1273648,0.9720782,0.6896768,0.563104,0.008426722,0.6128837,0.8937337,0.947132,0.9756879,0.02651476,0.01181592,0.02084808,0.9185281,0.4594525,0.9283246,0.03277414,0.9515785,0.9402616,0.08057186,0.01388051,0.9525807,0.9057069,0.8883027,0.9350667,0.9560572,0.4229841,0.6335235,0.9342152,0.848057
"PD3",0.6359969,0.9092822,0.8240039,0.1163543,0.9301248,0.8948982,0.9701862,0.9629874,0.02503786,0.1290988,0.9155172,0.01912982,0.7685708,0.4613403,0.5724383,0.02395023,0.7466563,0.7044114,0.2041727,0.8693424,0.613181,0.9314439,0.9404665,0.1796452,0.8893397,0.9173316,0.9462804,0.04822678,0.02384945,0.437718,0.6084564,0.8872669,0.5481894,0.06601833,0.8742734,0.7934355,0.03750895,0.910402,0.895481,0.8290995,0.8963329,0.06824424,0.2820317,0.8873646,0.9474399,0.8425478,0.7340373,0.02059462,0.1119596,0.0311518,0.8028488,0.6517353,0.9107304,0.7481553,0.5092996,0.9305629,0.6216174,0.9315843,0.9141967,0.7396208,0.8627146,0.6340142,0.05216535,0.03983225,0.2179598,0.01331767,0.7003041,0.8859479,0.8967834,0.8586802,0.1252496,0.9319658,0.7139932,0.4885022,0.02849845,0.6758668,0.9293199,0.8952406,0.8941988,0.03836003,0.02384802,0.04193682,0.915206,0.4155648,0.9221082,0.03575003,0.9561731,0.8862076,0.1157251,0.01927987,0.9234914,0.8550376,0.8368553,0.8605047,0.9494639,0.5511803,0.6995888,0.9179115,0.8303177
"CTRL39",0.7873781,0.9116887,0.8544565,0.104642,0.9499726,0.9652832,0.9528598,0.9713181,0.01922651,0.03883064,0.8691739,0.002227011,0.8668697,0.4730371,0.6812264,0.02186589,0.717407,0.8029432,0.2397066,0.8506287,0.6151326,0.9774626,0.9695059,0.04727254,0.9185083,0.9165701,0.9393023,0.05969175,0.01819923,0.39574,0.5279023,0.7997568,0.5817327,0.04787234,0.8925833,0.8118299,0.01671114,0.9140111,0.8654331,0.8796875,0.8905108,0.0654679,0.3436391,0.8892438,0.9556333,0.9473148,0.7261873,0.005147606,0.1788688,0.01554046,0.8566368,0.6717998,0.9109552,0.6856664,0.5920729,0.9637416,0.559325,0.9223448,0.9144407,0.6875405,0.831533,0.5755365,0.04288114,0.04314148,0.2624189,0.01077473,0.7224451,0.9535325,0.8912726,0.7866406,0.1281598,0.9694968,0.734783,0.5008618,0.01430469,0.7401774,0.893761,0.9149301,0.9717727,0.03257177,0.00936024,0.03969296,0.898273,0.4721337,0.9194161,0.0288205,0.941235,0.9497898,0.04891534,0.0144882,0.9466952,0.8607275,0.8281686,0.9586144,0.9510597,0.5515929,0.7035677,0.9051388,0.873708
"CTRL97",0.7298871,0.9318894,0.8486351,0.08642636,0.9584846,0.9609844,0.9680349,0.9687737,0.02216552,0.02503434,0.8917643,0.005808731,0.81951,0.4621418,0.6788666,0.01643143,0.8013265,0.665207,0.2724933,0.8125358,0.5891209,0.9751317,0.9598605,0.04708793,0.9426739,0.9180932,0.9163188,0.02358606,0.01413604,0.3507826,0.4718039,0.7640135,0.5638996,0.03516213,0.8823314,0.8423387,0.009640587,0.9108625,0.9150781,0.8210959,0.8535476,0.043204,0.3106552,0.8786168,0.9729052,0.9543364,0.7558926,0.008295153,0.2100313,0.01010782,0.8778761,0.6417366,0.9390214,0.673293,0.7765357,0.9080103,0.6396239,0.9091777,0.9689768,0.707667,0.8280084,0.6246766,0.0543971,0.02216529,0.2115106,0.004005393,0.6207455,0.9545308,0.8472184,0.8572364,0.1505255,0.9730773,0.7096291,0.4976919,0.007407407,0.633157,0.9095891,0.935563,0.8950305,0.02408623,0.00592491,0.0280017,0.8902473,0.4245679,0.8962928,0.02888515,0.9171568,0.9398248,0.04887688,0.00864704,0.9471435,0.9084694,0.7986846,0.9588216,0.9522138,0.5144891,0.6419464,0.9165965,0.8713393
"PD47",0.654159,0.9131285,0.8145641,0.0581959,0.9694512,0.9678316,0.9517646,0.9530628,0.03444102,0.02864839,0.8845925,0.004455488,0.7583785,0.4265412,0.6489355,0.01922499,0.6955457,0.6530122,0.1571334,0.8405545,0.4984495,0.9789963,0.9478085,0.1044295,0.9476371,0.8534131,0.9160706,0.03191706,0.01090417,0.3728726,0.5280632,0.7104874,0.5269019,0.0508093,0.869429,0.8098757,0.01472191,0.8937702,0.835072,0.8620788,0.8325213,0.06766749,0.2711026,0.8251456,0.9700781,0.9646737,0.5691286,0.0127823,0.2098187,0.0152737,0.8360628,0.566726,0.9577075,0.6330739,0.7289021,0.9570636,0.6068786,0.9140933,0.923198,0.5975193,0.8287644,0.5639697,0.047723,0.04114111,0.2104367,0.007288708,0.6585144,0.9463969,0.8218064,0.7392035,0.1320755,0.9403609,0.6809674,0.5385718,0.009210223,0.6734659,0.8929988,0.8909219,0.9346641,0.03447395,0.00569314,0.03056243,0.8824993,0.428679,0.8974906,0.03827898,0.9382783,0.9576,0.08057246,0.02155779,0.9521455,0.7897951,0.8758288,0.9624831,0.9516412,0.4318935,0.5701963,0.9107521,0.8283618
"DLB17",0.6560711,0.9369442,0.8815219,0.05800482,0.9540167,0.9157561,0.9503953,0.9633009,0.02369457,0.04557623,0.9328055,0.01551116,0.8712557,0.4389089,0.7100853,0.02098446,0.7280133,0.6932688,0.1688369,0.8085393,0.5597675,0.9572981,0.9800754,0.07057298,0.9447964,0.9070482,0.9429143,0.01928534,0.008288791,0.316799,0.3852612,0.7567567,0.4858311,0.05087231,0.8436382,0.9061748,0.0190031,0.9281329,0.8918139,0.9001657,0.8792925,0.06606309,0.255347,0.9246941,0.9584925,0.8657701,0.6655343,0.01114779,0.1994447,0.02981261,0.7696004,0.5755334,0.9263699,0.6743691,0.5189788,0.9599882,0.5619266,0.9142829,0.8629709,0.6859601,0.7348116,0.4766815,0.05496045,0.0204292,0.1269774,0.005838828,0.6706631,0.9252995,0.8142514,0.8168049,0.12311,0.9233113,0.700472,0.4725624,0.0131808,0.5797059,0.9050013,0.9403162,0.9325645,0.02515107,0.01018503,0.03123689,0.926776,0.4375583,0.8550676,0.03388018,0.9329286,0.9488901,0.07473644,0.01886143,0.9370378,0.9409637,0.7128041,0.9313248,0.9248119,0.3230317,0.5539788,0.919073,0.8783324
"DLB2",0.7446959,0.9668795,0.8083817,0.1265497,0.9550507,0.9061699,0.9720078,0.9706963,0.02232203,0.02714846,0.9652215,0.01790469,0.6646287,0.3981282,0.7901673,0.02583587,0.7394519,0.6313731,0.1916561,0.9136063,0.639908,0.9588114,0.9419866,0.09377146,0.9150383,0.9058309,0.9086332,0.0444934,0.02135754,0.3475583,0.671216,0.8758761,0.5700977,0.03487685,0.8522631,0.8673931,0.03828667,0.8367756,0.8558553,0.8150331,0.8998675,0.07091413,0.2544213,0.8778601,0.9528681,0.8975808,0.7182999,0.01570718,0.1284707,0.02622005,0.7236478,0.6340967,0.9351788,0.7463571,0.5087614,0.9373482,0.6576472,0.9273528,0.9302072,0.7589751,0.86123,0.6764299,0.03881955,0.05932357,0.2435623,0.01608619,0.7508528,0.8712865,0.895776,0.774315,0.1136523,0.9542095,0.6456098,0.6740909,0.01673336,0.6791858,0.9209429,0.9218874,0.8887096,0.03576807,0.02341625,0.05274985,0.9302686,0.3946883,0.9304447,0.04150676,0.9463672,0.8737662,0.1954651,0.02217213,0.9332865,0.8446414,0.882265,0.9073572,0.9445244,0.3922373,0.7517397,0.946915,0.7783165
"CTRL35",0.673592,0.9408601,0.806035,0.08753735,0.9557701,0.9624667,0.9621963,0.9665583,0.02251925,0.01918996,0.9194511,0.008115204,0.8447393,0.4885209,0.7158089,0.02448138,0.6980251,0.583676,0.2869304,0.8990106,0.5995382,0.9744414,0.9556532,0.02620149,0.9414168,0.8671102,0.8892857,0.04156842,0.01303697,0.3789836,0.6611889,0.8307304,0.5239541,0.05468176,0.9010744,0.8461338,0.01427788,0.9058925,0.8826904,0.8626858,0.8842289,0.04547339,0.2980306,0.8607855,0.9760094,0.9674779,0.6883315,0.001032525,0.1718839,0.02174398,0.8728692,0.5694197,0.9324839,0.6934833,0.5988865,0.9576197,0.6533433,0.9264983,0.9634707,0.6913109,0.8663101,0.6054475,0.05514672,0.04781856,0.1436912,0.01253642,0.7942788,0.9163201,0.8801868,0.786078,0.1507241,0.9766649,0.6832371,0.626718,0.006736675,0.6061853,0.9240035,0.9280118,0.9237935,0.02077739,0.00577636,0.0328788,0.8999793,0.38836,0.878709,0.03026461,0.9359813,0.9466139,0.07607857,0.008788957,0.9699949,0.8047923,0.842896,0.9399714,0.9356025,0.4176042,0.6957295,0.9359284,0.8469571
"PD8",0.7136797,0.9383006,0.8906532,0.1260354,0.9383155,0.9179004,0.9628115,0.9482301,0.02027025,0.04678988,0.9574406,0.01018616,0.8141947,0.5085667,0.7645442,0.02733948,0.7989456,0.6215774,0.3481111,0.8889674,0.6559149,0.9431666,0.9688,0.05805448,0.953063,0.8907325,0.8927685,0.03266611,0.01778766,0.2850652,0.6702932,0.9028302,0.434745,0.03551732,0.9434566,0.8637676,0.02578503,0.8892145,0.9055311,0.8570317,0.8791445,0.04646584,0.2721603,0.8507998,0.9546828,0.9033743,0.6755084,0.0164271,0.1723103,0.02941553,0.807451,0.6044548,0.9324912,0.7144878,0.6468058,0.9650098,0.6989922,0.9348881,0.9121058,0.840173,0.8849833,0.6625768,0.03112481,0.01661772,0.1675396,0.007901863,0.7843277,0.943848,0.9091303,0.8475572,0.1527025,0.9312587,0.7236181,0.6424406,0.02083052,0.5296139,0.9257851,0.9363069,0.9498911,0.02710443,0.01480973,0.03102987,0.9201989,0.3338095,0.8696989,0.03353503,0.9626956,0.9005405,0.09522701,0.0162745,0.9513216,0.8916903,0.8738583,0.9302113,0.9455274,0.2904745,0.7606343,0.9411022,0.833325
"CTRL51",0.6782542,0.9251632,0.8599538,0.08738119,0.9746938,0.9426768,0.9709854,0.9612747,0.03287082,0.03398351,0.8794627,0.004594181,0.7707238,0.4563583,0.6152837,0.0109542,0.7354617,0.7292913,0.2318028,0.8120689,0.5582593,0.9853163,0.9795049,0.03527028,0.936487,0.8807243,0.9098628,0.0103349,0.007984032,0.3645364,0.4667504,0.7572325,0.5432089,0.05631636,0.8623499,0.8232207,0.008070872,0.91991,0.8411565,0.8493635,0.8862036,0.04730679,0.2910788,0.8387758,0.9771903,0.9873524,0.6262477,0.006861705,0.186887,0.01462113,0.7987897,0.597673,0.9649172,0.6071671,0.7981659,0.9737664,0.6029213,0.9450526,0.9546322,0.6618831,0.7991408,0.5974621,0.02941668,0.02413996,0.2469762,0.001897752,0.7580049,0.9418062,0.8202068,0.7966949,0.1309255,0.9758369,0.6979972,0.5813377,0.009327984,0.7029748,0.9330869,0.9282298,0.956646,0.01996924,0.003282276,0.02557922,0.9017237,0.4603198,0.901623,0.02329178,0.9516335,0.9840172,0.06842138,0.01162297,0.9654513,0.8178886,0.8794707,0.9669267,0.9603956,0.3703434,0.6511518,0.9472226,0.9039323
"CTRL77",0.6786513,0.9592275,0.8246423,0.05744221,0.9786276,0.9085232,0.9472875,0.9546289,0.02035821,0.04073342,0.913406,0.009357409,0.8180242,0.3918634,0.7006506,0.0231731,0.7385966,0.5728455,0.1555684,0.7933871,0.5683917,0.9647871,0.9696975,0.07582734,0.9421242,0.9011366,0.9080519,0.01796517,0.01166972,0.2834641,0.476895,0.7991729,0.4244877,0.06538561,0.9020819,0.8326819,0.006307264,0.8851814,0.91635,0.8839097,0.8519044,0.04970598,0.2476217,0.8681151,0.9723512,0.8535759,0.5174302,0.003045977,0.1467184,0.008900256,0.8453669,0.5321621,0.8989601,0.5978426,0.6672438,0.9460219,0.6661055,0.9120207,0.8980793,0.7195037,0.7897925,0.5569914,0.03401045,0.03876221,0.2634996,0.004949705,0.782239,0.9397746,0.8138299,0.8082011,0.1117467,0.9564166,0.6162966,0.6011777,0.0155096,0.6383876,0.9151643,0.9450305,0.9538745,0.01726435,0.01170891,0.02041186,0.9135449,0.3977035,0.924024,0.02672422,0.9545703,0.9283655,0.08289141,0.008768113,0.9171055,0.8941933,0.8543901,0.94583,0.955917,0.4345795,0.6683126,0.9232681,0.8289499
"CTRL68",0.6840738,0.9662387,0.873115,0.02866786,0.936213,0.9650837,0.9678677,0.9592666,0.01880977,0.01500382,0.8860607,0.005909091,0.8196719,0.4334739,0.5979629,0.02349453,0.8083222,0.6746372,0.150781,0.8722845,0.5239428,0.9671182,0.9675128,0.09460814,0.9623623,0.9276168,0.8985306,0.02975066,0.01495108,0.2797826,0.5004361,0.7716304,0.5065492,0.04602597,0.9001085,0.835352,0.01036758,0.9236275,0.8822241,0.8379799,0.8018983,0.05833435,0.2684451,0.9328236,0.9755531,0.9461056,0.6089918,0.005872388,0.1618175,0.02066554,0.8322752,0.5482015,0.9389851,0.5962442,0.6293555,0.9750303,0.6136239,0.9295011,0.9582038,0.7810417,0.7896185,0.5069137,0.04324864,0.0263491,0.2387299,0.001850216,0.581678,0.9625833,0.8056645,0.7111533,0.09343866,0.9747301,0.7174593,0.530887,0.01387859,0.6211697,0.9175762,0.9359356,0.95118,0.01511808,0.01276395,0.03068005,0.9374155,0.4531005,0.8707674,0.03947444,0.9328008,0.9698532,0.0335932,0.01152497,0.9311021,0.8921067,0.8178238,0.9524553,0.9605366,0.3956548,0.5826844,0.9347058,0.8377302
"PDD24",0.7174336,0.9650406,0.8364679,0.07657634,0.962041,0.9476987,0.9570105,0.9680731,0.01243747,0.03836731,0.9635497,0.009352787,0.9208602,0.4680049,0.7487535,0.01434827,0.8458748,0.7793174,0.240338,0.8923032,0.5998656,0.9622855,0.9866396,0.08044745,0.9517256,0.9479054,0.9433608,0.01652004,0.009871095,0.3513026,0.5783074,0.9320413,0.5401959,0.06399132,0.8707214,0.815341,0.01013225,0.9868304,0.9098719,0.9196959,0.8560929,0.04406855,0.3022634,0.9458921,0.9848715,0.9433462,0.7850398,0.005511657,0.1971131,0.01623154,0.8211519,0.5819169,0.9349192,0.7108199,0.6382144,0.953438,0.6783819,0.9362001,0.9379526,0.8346125,0.898865,0.5998541,0.05038144,0.01986345,0.1064191,0.01639164,0.842642,0.9416156,0.9196028,0.8372539,0.08194755,0.9540488,0.77682,0.6140845,0.004971933,0.6540208,0.9588282,0.9730419,0.9445703,0.02070779,0.009949041,0.02355683,0.9468793,0.4525748,0.9291455,0.03226127,0.9744355,0.941252,0.04246153,0.006276436,0.9166786,0.9190525,0.8819751,0.9436252,0.9810432,0.497394,0.8080296,0.9545493,0.9306218
"CTRL19",0.6524948,0.917016,0.8215696,0.1129511,0.9649207,0.9468678,0.951789,0.9569775,0.0298136,0.05440014,0.9056962,0.004309726,0.8571111,0.4899526,0.7410866,0.01766268,0.7675149,0.6844937,0.2537211,0.8851343,0.5893616,0.9673851,0.9543088,0.08461551,0.9514218,0.8549484,0.8764253,0.04412292,0.004343105,0.4194347,0.6372468,0.8394052,0.5847682,0.08846414,0.9374133,0.8118285,0.01462599,0.9444875,0.8773001,0.8140665,0.8912855,0.04594144,0.3102321,0.8710858,0.9740905,0.9583584,0.7047151,0.007750145,0.1150258,0.02467428,0.9067212,0.6387211,0.9364212,0.6831045,0.7222331,0.9727649,0.6203214,0.9179954,0.9107824,0.722893,0.9179213,0.5831618,0.04932866,0.02820948,0.1496466,0.01059906,0.7478789,0.9298757,0.8669795,0.8813874,0.1302548,0.966261,0.7135129,0.5410385,0.004713805,0.659795,0.9035393,0.9238201,0.9071527,0.02819246,0.009683026,0.02455104,0.9032627,0.3290175,0.8738015,0.02675566,0.9467184,0.9438626,0.1056351,0.008698693,0.9505772,0.8053061,0.8433023,0.9091322,0.9324514,0.4450554,0.6572135,0.918635,0.8438274
"PDD13",0.7932007,0.9315427,0.8137732,0.1065229,0.981057,0.9822537,0.9815818,0.9740819,0.05541051,0.006772187,0.9513294,0.007958688,0.613261,0.396722,0.623002,0.00703187,0.8031722,0.6902786,0.1533273,0.8860763,0.6340009,0.9891706,0.9580283,0.1298674,0.8673291,0.9026046,0.9150846,0.04882077,0.01343922,0.4213697,0.6924365,0.7993106,0.7390708,0.03280286,0.918749,0.8097599,0.01142143,0.9044093,0.8264407,0.7601207,0.8470677,0.043,0.2364993,0.8971713,0.9768786,0.9682835,0.7261005,0.005567717,0.1513837,0.01163238,0.7793631,0.5908217,0.9582942,0.7910061,0.9374885,0.9689152,0.6482471,0.9626652,0.9332129,0.7048204,0.7707382,0.7613659,0.02407337,0.05646114,0.2965479,0.001762758,0.7729579,0.8814186,0.8588076,0.7722928,0.07674102,0.9740001,0.6609754,0.6803816,0.0087934,0.663006,0.9384057,0.9479481,0.9701194,0.01708806,0.00448821,0.01988689,0.9532121,0.4270869,0.9370721,0.01734037,0.9633569,0.9808811,0.1591905,0.01100883,0.9500728,0.7970607,0.8452539,0.9406891,0.9652062,0.4497506,0.7230219,0.9133827,0.7970073
"CTRL43",0.6983404,0.9568936,0.8709063,0.07849902,0.9543296,0.9467751,0.9768861,0.957034,0.05047585,0.02715735,0.9372238,0.01232984,0.7582951,0.4533283,0.6421248,0.02655632,0.7527374,0.7834285,0.2423797,0.8048439,0.6477268,0.9771365,0.9487464,0.05431625,0.9075919,0.9172399,0.9199549,0.01273293,0.01553494,0.3006935,0.5036502,0.8450909,0.5399177,0.05778093,0.8587016,0.7740412,0.02595916,0.8791143,0.908898,0.8691917,0.8512673,0.07512806,0.351037,0.9131494,0.9762287,0.9303651,0.7061607,0.007448576,0.1607361,0.01559044,0.9319417,0.6614216,0.9650619,0.696251,0.7837563,0.9846521,0.5929752,0.8849553,0.9591418,0.6494375,0.723843,0.5966688,0.06981748,0.02512827,0.1419512,0.001700287,0.7951291,0.9613528,0.8185312,0.802068,0.09953991,0.9741371,0.6999757,0.5717256,0.007245658,0.7190244,0.896729,0.9355431,0.970352,0.02128226,0.01290516,0.02909229,0.9059519,0.5132961,0.8667283,0.02830448,0.9508953,0.9361563,0.04995427,0.009502001,0.9565854,0.8512072,0.8729616,0.942665,0.9441732,0.4089003,0.6052252,0.9444818,0.876388
"DLB11",0.7134921,0.9619498,0.9223521,0.08068064,0.974604,0.9304492,0.9642399,0.9824576,0.01800048,0.02990272,0.9472628,0.00855615,0.7917969,0.4681844,0.7073033,0.01503847,0.8291879,0.5999917,0.2241049,0.8230714,0.6181225,0.9700539,0.9762475,0.08809502,0.9230054,0.9290452,0.9413461,0.03412732,0.01212955,0.3660542,0.5327674,0.8027905,0.5191553,0.03782042,0.9153857,0.8404236,0.01204285,0.900106,0.8672304,0.8879158,0.8459094,0.03721135,0.3472071,0.902231,0.9813747,0.9255781,0.6611864,0.001773589,0.1975923,0.01816014,0.8104254,0.6244031,0.952877,0.7656648,0.6853442,0.9700581,0.6173132,0.935779,0.9141456,0.771871,0.9059473,0.6356327,0.04964096,0.03863244,0.2603748,0.005000913,0.6670797,0.9393742,0.8926033,0.8307004,0.09815901,0.9644032,0.712432,0.5177091,0.006255585,0.6871689,0.9497784,0.9616577,0.9576817,0.02320967,0.00746821,0.02825568,0.9575433,0.3486729,0.8523095,0.03376344,0.9743449,0.9461316,0.03530495,0.01026141,0.9648378,0.9028055,0.8884815,0.960525,0.9678895,0.4496769,0.6470959,0.9198845,0.8532365
"PDD58",0.7546902,0.9315341,0.8302627,0.08566018,0.9656882,0.9657005,0.9716889,0.953249,0.02067201,0.01380348,0.9021228,0.005117935,0.7547285,0.4420151,0.6704431,0.0182566,0.7230581,0.7522657,0.2326161,0.8023059,0.5760993,0.9629183,0.9688808,0.04029111,0.9546692,0.8698115,0.9196742,0.03797686,0.01784818,0.35304,0.5836316,0.8123997,0.5444908,0.05139726,0.886755,0.910037,0.01003026,0.9071519,0.8981865,0.8348628,0.8535865,0.06297539,0.3734404,0.8681418,0.9721798,0.9529904,0.740073,0.006113658,0.1595554,0.01749867,0.8570069,0.5555276,0.9406207,0.6280162,0.5807522,0.9554504,0.659488,0.9030591,0.9734703,0.682361,0.8005908,0.5869507,0.04490723,0.03053769,0.1592854,0.005264725,0.6713775,0.9298697,0.8996276,0.842479,0.1303608,0.9679887,0.6735944,0.4962696,0.007645372,0.6518201,0.9319118,0.9202486,0.9714607,0.03541331,0.01025192,0.02871645,0.8821209,0.4099941,0.8682103,0.05009565,0.9499527,0.9486239,0.0617614,0.01614698,0.9516146,0.8552644,0.7814482,0.943796,0.9506702,0.4443959,0.616113,0.9446091,0.9049006
